cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0028137,C0001041,COMPARED_WITH,Nitrites,Acetylcholine,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0036140,C0041942,COMPARED_WITH,Salts,Urea,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0303156,C0010294,COMPARED_WITH,Bismuth compound,Creatinine,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0444626,C0061202,COMPARED_WITH,Crystal Structure,Genistein,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0596973,C0001461,COMPARED_WITH,monomer,Adenosine Diphosphate Ribose,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0596973,C1099354,COMPARED_WITH,monomer,"RNA, Small Interfering",chvs,bacs,2,COMPARED_WITH_CHVScpwtBACS
C0597177,C0009968,COMPARED_WITH,Particle,Copper,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C0597177,C0038774,COMPARED_WITH,Particle,Sulfur,chvs,bacs,2,COMPARED_WITH_CHVScpwtBACS
C0597486,C0009968,COMPARED_WITH,solid state,Copper,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C1704241,C0032136,COMPARED_WITH,complex (molecular entity),Plasmids,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C1704241,C0035711,COMPARED_WITH,complex (molecular entity),Transfer RNA,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C1704241,C1099354,COMPARED_WITH,complex (molecular entity),"RNA, Small Interfering",chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C1979934,C0028606,COMPARED_WITH,Multimers,Nucleic Acids,chvs,bacs,1,COMPARED_WITH_CHVScpwtBACS
C3890228,C1099354,COMPARED_WITH,Structural Modifier,"RNA, Small Interfering",chvs,bacs,2,COMPARED_WITH_CHVScpwtBACS
