cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013852,C0012854,COMPARED_WITH,Electrons,DNA,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0017112,C0028158,COMPARED_WITH,Noble Gases,Nitrogen,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0018880,C0028158,COMPARED_WITH,Helium,Nitrogen,elii,bacs,2,COMPARED_WITH_ELIIcpwtBACS
C0018880,C0030054,COMPARED_WITH,Helium,Oxygen,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0022023,C0009968,COMPARED_WITH,Ions,Copper,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0022023,C0017714,COMPARED_WITH,Ions,Gluconates,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0022023,C0024467,COMPARED_WITH,Ions,Magnesium,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0022023,C1764827,COMPARED_WITH,Ions,Isolate - microorganism,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0031705,C0028158,COMPARED_WITH,Phosphorus,Nitrogen,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C0037125,C0009968,COMPARED_WITH,Silver,Copper,elii,bacs,4,COMPARED_WITH_ELIIcpwtBACS
C0042306,C0302583,COMPARED_WITH,Vanadium,Iron,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
C2936695,C0009968,COMPARED_WITH,Graphene,Copper,elii,bacs,1,COMPARED_WITH_ELIIcpwtBACS
