cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C1419408,COMPARED_WITH,Alkalies,RNASE2 gene,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0008203,C0163314,COMPARED_WITH,Chlorides,"Fatty Acid-Binding Proteins, Intestinal-Specific",inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0010511,C0025646,COMPARED_WITH,Cyanogen Bromide,Methionine,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0020281,C0019941,COMPARED_WITH,Hydrogen Peroxide,Horseradish Peroxidase,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0020281,C1824993,COMPARED_WITH,Hydrogen Peroxide,DUSP28 gene,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0043047,C1709402,COMPARED_WITH,Water,PIK3CA wt Allele,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0043047,C4284302,COMPARED_WITH,Water,EHD1 wt Allele,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0051522,C0116078,COMPARED_WITH,aluminum sulfate,Engerix-B,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0055330,C0067899,COMPARED_WITH,chloramine,N-chlorotaurine,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0069590,C1742862,COMPARED_WITH,ORALIT,"CISH protein, human",inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0146894,C2744579,COMPARED_WITH,triphosphate,"ATP8A2 protein, human",inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0733770,C1522002,COMPARED_WITH,Alhydrogel,RNA Recognition Motif,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0733770,C4281807,COMPARED_WITH,Alhydrogel,"Vitronectin, human",inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C0757156,C3494234,COMPARED_WITH,fortune,VHH Immunoglobulin Fragments,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
C3536832,C1334103,COMPARED_WITH,Air,IL13 gene,inch,aapp,1,COMPARED_WITH_INCHcpwtAAPP
