cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009653,C0017066,COMPARED_WITH,"Condoms, Male",Ganciclovir,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0039818,C0028630,COMPARED_WITH,"Thermometer, device",Nucleotides,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0178987,C0012931,COMPARED_WITH,Artificial Airways,Recombinant DNA,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0181687,C0046774,COMPARED_WITH,loops,3'-(1-butylphosphoryl)adenosine,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0182400,C0028630,COMPARED_WITH,Probes,Nucleotides,medd,nnon,4,COMPARED_WITH_MEDDcpwtNNON
C0182400,C0028953,COMPARED_WITH,Probes,Oligonucleotides,medd,nnon,2,COMPARED_WITH_MEDDcpwtNNON
C0182400,C0206415,COMPARED_WITH,Probes,Oligonucleotide Primers,medd,nnon,5,COMPARED_WITH_MEDDcpwtNNON
C0348000,C0206415,COMPARED_WITH,Instrument - device,Oligonucleotide Primers,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0728990,C0028630,COMPARED_WITH,Clinical Use Template,Nucleotides,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0728990,C0056208,COMPARED_WITH,Clinical Use Template,Complementary RNA,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
C0728990,C0206415,COMPARED_WITH,Clinical Use Template,Oligonucleotide Primers,medd,nnon,1,COMPARED_WITH_MEDDcpwtNNON
