cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001002,C0003320,COMPARED_WITH,Acetone,Antigens,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0004057,C0003320,COMPARED_WITH,Aspirin,Antigens,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023556,C0001551,COMPARED_WITH,Levamisole,Immunologic Adjuvants,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023810,C0042210,COMPARED_WITH,Lipopolysaccharides,Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023810,C0243020,COMPARED_WITH,Lipopolysaccharides,Immunoconjugates,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023828,C0001551,COMPARED_WITH,Liposomes,Immunologic Adjuvants,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023828,C0003320,COMPARED_WITH,Liposomes,Antigens,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023828,C0018909,COMPARED_WITH,Liposomes,Hemagglutinin,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0023828,C0042210,COMPARED_WITH,Liposomes,Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0032594,C0001551,COMPARED_WITH,Polysaccharides,Immunologic Adjuvants,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0032594,C0003320,COMPARED_WITH,Polysaccharides,Antigens,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0032594,C0042210,COMPARED_WITH,Polysaccharides,Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0038317,C0021081,COMPARED_WITH,Steroids,Immunosuppressive Agents,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0062637,C0003316,COMPARED_WITH,Hexamethonium,Epitopes,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0064056,C0034496,COMPARED_WITH,isopropyl myristate,Rabies Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0066776,C0003320,COMPARED_WITH,monophosphoryl lipid A,Antigens,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0066776,C0023767,COMPARED_WITH,monophosphoryl lipid A,Lipid A,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0520481,C0042212,COMPARED_WITH,Saponin,"Vaccines, Inactivated",orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C0525678,C0042210,COMPARED_WITH,rasagiline,Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C2926735,C0042210,COMPARED_WITH,Duration,Vaccines,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
C3885324,C0001551,COMPARED_WITH,Addavax,Immunologic Adjuvants,orch,imft,1,COMPARED_WITH_ORCHcpwtIMFT
