cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0000983,COMPARED_WITH,Ethanol,Acetic Acid,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0001962,C0054147,COMPARED_WITH,Ethanol,bronopol,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0007404,C0016979,COMPARED_WITH,Catechin,Gallic acid,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0008269,C0253711,COMPARED_WITH,Chloroquine,Lipofectamine,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0016157,C0142831,COMPARED_WITH,Fish Oils,sodium dehydroacetate,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0022266,C0010467,COMPARED_WITH,Isoxazoles,Curcumin,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0023779,C0088100,COMPARED_WITH,Lipids,"1,2-dioleoyloxy-3-(trimethylammonium)propane",orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0042890,C0010467,COMPARED_WITH,Vitamins,Curcumin,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0063922,C0002710,COMPARED_WITH,isobutyl alcohol,Pentanol,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0063997,C0024100,COMPARED_WITH,isoluminol,Luminol,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0064071,C0016979,COMPARED_WITH,isoquercitrin,Gallic acid,orch,irda,2,COMPARED_WITH_ORCHcpwtIRDA
C0072683,C0034251,COMPARED_WITH,pyridine N-oxide,pyridine,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0073085,C0034303,COMPARED_WITH,resorcinol,Pyrogallol,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0076172,C0019215,COMPARED_WITH,N-tris(hydroxymethyl)methyl-2-aminomethane sulfonate,HEPES,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0082302,C0034251,COMPARED_WITH,dimethyldioxirane,pyridine,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0086140,C0386370,COMPARED_WITH,Dextran,ferumoxtran-10,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0246154,C0060934,COMPARED_WITH,gadobenic acid,Gadopentetate Dimeglumine,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0647210,C0027941,COMPARED_WITH,monooxyethylene trimethylolpropane tristearate,Neutral Red,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C0761898,C0060549,COMPARED_WITH,(((4-chloromethyl)benzoyl)amino)-tetramethylrhodamine,Fluorexon stain,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C1176007,C0010467,COMPARED_WITH,"3,3',4,5'-tetrahydroxystilbene",Curcumin,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
C1450994,C0022115,COMPARED_WITH,5-hydroxyoxindole,Isatin,orch,irda,1,COMPARED_WITH_ORCHcpwtIRDA
