cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000970,C0004057,COMPARED_WITH,Acetaminophen,Aspirin,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0000970,C0022614,COMPARED_WITH,Acetaminophen,Ketamine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0000975,C0061751,COMPARED_WITH,Acetate,Glycyrrhizic Acid,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001002,C0001962,COMPARED_WITH,Acetone,Ethanol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001911,C0032911,COMPARED_WITH,Albendazole,Praziquantel,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001927,C0001927,COMPARED_WITH,Albuterol,Albuterol,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0001927,C0073992,COMPARED_WITH,Albuterol,salmeterol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001927,C0117996,COMPARED_WITH,Albuterol,Fluticasone propionate,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0001962,COMPARED_WITH,Ethanol,Ethanol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0001964,COMPARED_WITH,Ethanol,1-Propanol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0008196,COMPARED_WITH,Ethanol,Chlorhexidine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0022237,COMPARED_WITH,Ethanol,Isopropyl Alcohol,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0032857,COMPARED_WITH,Ethanol,Povidone-Iodine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0047964,COMPARED_WITH,Ethanol,4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0078792,COMPARED_WITH,Ethanol,zinc pyrithione,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001962,C0175804,COMPARED_WITH,Ethanol,Propanols,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001964,C0001962,COMPARED_WITH,1-Propanol,Ethanol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001964,C0022237,COMPARED_WITH,1-Propanol,Isopropyl Alcohol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001975,C0028910,COMPARED_WITH,Alcohols,"Oils, Volatile",orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001977,C0001962,COMPARED_WITH,Butanols,Ethanol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0001992,C0022634,COMPARED_WITH,Aldehydes,Ketones,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0002026,C0015846,COMPARED_WITH,Alfentanil,Fentanyl,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002062,C0002062,COMPARED_WITH,Alkaloids,Alkaloids,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002062,C0036078,COMPARED_WITH,Alkaloids,Sulfasalazine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002062,C1175906,COMPARED_WITH,Alkaloids,antofine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002144,C0030086,COMPARED_WITH,Allopurinol,Oxypurinol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002403,C0022614,COMPARED_WITH,Amantadine,Ketamine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002403,C0025242,COMPARED_WITH,Amantadine,Memantine,orch,orch,4,COMPARED_WITH_ORCHcpwtORCH
C0002403,C0035629,COMPARED_WITH,Amantadine,Rimantadine,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0002403,C3490984,COMPARED_WITH,Amantadine,BIT225,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002482,C0002482,COMPARED_WITH,Amides,Amides,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002502,C0016860,COMPARED_WITH,Amiloride,Furosemide,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002508,C0001992,COMPARED_WITH,Amines,Aldehydes,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002508,C0002508,COMPARED_WITH,Amines,Amines,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0002508,C0004057,COMPARED_WITH,Amines,Aspirin,orch,orch,3,COMPARED_WITH_ORCHcpwtORCH
C0002600,C0016365,COMPARED_WITH,Amitriptyline,Fluoxetine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0002641,C0008269,COMPARED_WITH,Amodiaquine,Chloroquine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0003360,C0003360,COMPARED_WITH,Antihistamines,Antihistamines,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0003753,C0062585,COMPARED_WITH,Arecoline,hesperetin,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0003753,C0074455,COMPARED_WITH,Arecoline,shikonin,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0004057,C0004057,COMPARED_WITH,Aspirin,Aspirin,orch,orch,3,COMPARED_WITH_ORCHcpwtORCH
C0004057,C0011777,COMPARED_WITH,Aspirin,Dexamethasone,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0004057,C0032950,COMPARED_WITH,Aspirin,prednisolone,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0004320,C0028017,COMPARED_WITH,Auranofin,Niclosamide,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0005064,C0033487,COMPARED_WITH,Benzodiazepines,Propofol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0005117,C0034417,COMPARED_WITH,Berberine,Quinine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0005802,C0005802,COMPARED_WITH,Blood Glucose,Blood Glucose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0005802,C0017628,COMPARED_WITH,Blood Glucose,Glyburide,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006246,C0085173,COMPARED_WITH,Brompheniramine,Terfenadine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006359,C0025598,COMPARED_WITH,Buformin,Metformin,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006405,C0025605,COMPARED_WITH,Buprenorphine,Methadone,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0006863,C0039663,COMPARED_WITH,Cannabidiol,Tetrahydrocannabinol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006865,C0006865,COMPARED_WITH,Cannabinol,Cannabinol,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006929,C0057239,COMPARED_WITH,hexanoic acid,decanoic acid,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0006948,C0014898,COMPARED_WITH,Carbamates,Esters,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0003682,COMPARED_WITH,Carbohydrates,Arabinose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0015677,COMPARED_WITH,Carbohydrates,Fatty acid glycerol esters,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0016745,COMPARED_WITH,Carbohydrates,Fructose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0016786,COMPARED_WITH,Carbohydrates,Fucose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0024742,COMPARED_WITH,Carbohydrates,Mannose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0026492,COMPARED_WITH,Carbohydrates,Monosaccharides,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0035549,COMPARED_WITH,Carbohydrates,Ribose,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0066399,COMPARED_WITH,Carbohydrates,methylmannoside,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C0596922,COMPARED_WITH,Carbohydrates,Methyl Group,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007004,C1328819,COMPARED_WITH,Carbohydrates,Small Molecule,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007158,C0007004,COMPARED_WITH,Cardiac Glycosides,Carbohydrates,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007309,C1950715,COMPARED_WITH,carvacrol,OREGANO OIL,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0007404,C0007404,COMPARED_WITH,Catechin,Catechin,orch,orch,2,COMPARED_WITH_ORCHcpwtORCH
C0007935,C1257969,COMPARED_WITH,Chalcone,Flavanones,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0008162,C0051482,COMPARED_WITH,Chloralose,alfaxalone,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
C0008162,C0113293,COMPARED_WITH,Chloralose,Dexmedetomidine,orch,orch,1,COMPARED_WITH_ORCHcpwtORCH
