cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002062,C0039561,CONVERTS_TO,Alkaloids,Terpenes,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0023545,CONVERTS_TO,Arachidonic Acid,Leukotrienes,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0003695,C0023546,CONVERTS_TO,Arachidonic Acid,Leukotriene B4,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0040061,CONVERTS_TO,Arachidonic Acid,Thromboxanes,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0003695,C0072288,CONVERTS_TO,Arachidonic Acid,Prostaglandin H2,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0125631,CONVERTS_TO,Arachidonic Acid,Leukotriene A4,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0205911,CONVERTS_TO,Arachidonic Acid,Prostaglandins I,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0312821,CONVERTS_TO,Arachidonic Acid,Hydroperoxy eicosatetraenoic acid,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0599689,CONVERTS_TO,Arachidonic Acid,Lipoxins,orch,bacs,3,CONVERTS_TO_ORCHcvttBACS
C0003695,C0599745,CONVERTS_TO,Arachidonic Acid,lipid mediator,orch,bacs,4,CONVERTS_TO_ORCHcvttBACS
C0007004,C0030234,CONVERTS_TO,Carbohydrates,Palmitic Acid,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0007004,C0597105,CONVERTS_TO,Carbohydrates,nucleoside monophosphate,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0008395,C0005390,CONVERTS_TO,"Cholesterol, Dietary",Bile Acids,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0014963,C0010658,CONVERTS_TO,Ethacrynic Acid,Cysteine Proteinase Inhibitors,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0015684,C0001374,CONVERTS_TO,Fatty Acids,Acyl Coenzyme A,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0015684,C0599745,CONVERTS_TO,Fatty Acids,lipid mediator,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0017082,C0067762,CONVERTS_TO,Gangliosides,N-Acetylneuraminic Acid,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0017718,C0016943,CONVERTS_TO,Glucosamine,Galactosamine,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0017718,C0067762,CONVERTS_TO,Glucosamine,N-Acetylneuraminic Acid,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0017906,C0067762,CONVERTS_TO,Glycoconjugates,N-Acetylneuraminic Acid,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0017945,C3852939,CONVERTS_TO,Glycol,BCX4430,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0022924,C0001026,CONVERTS_TO,Lactates,Acetyl Coenzyme A,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0022924,C0017725,CONVERTS_TO,Lactates,Glucose,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0022924,C0017911,CONVERTS_TO,Lactates,Glycogen,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0023779,C0016693,CONVERTS_TO,Lipids,Free Radicals,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0023779,C0070798,CONVERTS_TO,Lipids,"Phosphatidylinositol 4,5-Diphosphate",orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0023779,C0920643,CONVERTS_TO,Lipids,reactive oxygen intermediate,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0023779,C1101610,CONVERTS_TO,Lipids,MicroRNAs,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0024367,C0032615,CONVERTS_TO,Lysophospholipids,Polyunsaturated Fatty Acids,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0024367,C0599745,CONVERTS_TO,Lysophospholipids,lipid mediator,orch,bacs,3,CONVERTS_TO_ORCHcvttBACS
C0025638,C0019588,CONVERTS_TO,Methenamine,Histamine,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0028928,C0031676,CONVERTS_TO,Oleic Acid,Phospholipids,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
