cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003280,C0003241,CONVERTS_TO,Anticoagulants,Antibodies,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0003289,C1456447,CONVERTS_TO,Antidepressive Agents,"SLC6A2 protein, human",phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0003674,C2744579,CONVERTS_TO,Vidarabine Phosphate,"ATP8A2 protein, human",phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0013231,C0010654,CONVERTS_TO,"Drugs, Non-Prescription",Cysteine,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0013231,C0017817,CONVERTS_TO,"Drugs, Non-Prescription",Glutathione,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0358591,C2744579,CONVERTS_TO,Proton Pump Inhibitors,"ATP8A2 protein, human",phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0383956,C0019046,CONVERTS_TO,HBOC 201,Hemoglobin,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0456388,C0021027,CONVERTS_TO,Blood product,Immunoglobulins,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C0544357,C0002191,CONVERTS_TO,human plasma,alpha 1-Antitrypsin,phsu,aapp,3,CONVERTS_TO_PHSUcvttAAPP
C0544357,C0085297,CONVERTS_TO,human plasma,"Immunoglobulins, Intravenous",phsu,aapp,2,CONVERTS_TO_PHSUcvttAAPP
C0544357,C1412922,CONVERTS_TO,human plasma,SERPING1 gene,phsu,aapp,4,CONVERTS_TO_PHSUcvttAAPP
C1136254,C0054628,CONVERTS_TO,Microbicides,capsular-polysaccharide galactohydrolase,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C3539125,C0021760,CONVERTS_TO,other medicated shampoos in ATC,Interleukin-6,phsu,aapp,1,CONVERTS_TO_PHSUcvttAAPP
C3539957,C0440471,CONVERTS_TO,opium alkaloids and derivative combination cough suppressants,Genetic Materials,phsu,aapp,2,CONVERTS_TO_PHSUcvttAAPP
