cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001471,C3887642,DISRUPTS,"Receptors, Purinergic P1",Hippocampus Proper,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0001924,C0023884,DISRUPTS,Albumins,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0002520,C0229304,DISRUPTS,Amino Acids,Helix of ear,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003009,C0227197,DISRUPTS,angiotensin II,Glandular stomach,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003017,C0023884,DISRUPTS,Angiotensinogen,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003241,C0024109,DISRUPTS,Antibodies,Lung,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003241,C0024204,DISRUPTS,Antibodies,lymph nodes,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003241,C0037993,DISRUPTS,Antibodies,Spleen,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003241,C0178784,DISRUPTS,Antibodies,Organ,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003242,C0736268,DISRUPTS,"Antibodies, Anti-Idiotypic",Liver parenchyma,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003250,C0024109,DISRUPTS,Monoclonal Antibodies,Lung,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003250,C3640705,DISRUPTS,Monoclonal Antibodies,Proximal Left Anterior Descending Artery,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003253,C0005854,DISRUPTS,"Antibodies, Viral",Blood - brain barrier anatomy,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003593,C0022378,DISRUPTS,Apolipoproteins B,Jejunum,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003593,C0023884,DISRUPTS,Apolipoproteins B,Liver,aapp,bpoc,3,DISRUPTS_AAPPdrptBPOC
C0003641,C1552134,DISRUPTS,Aprotinin,20s,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0003765,C0227308,DISRUPTS,Arginine,Jejunal mucous membrane,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0005740,C1440080,DISRUPTS,Bleomycin,Alveolar,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0006560,C0023884,DISRUPTS,C-reactive protein,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0007332,C0929301,DISRUPTS,Caseins,Mammary gland,aapp,bpoc,2,DISRUPTS_AAPPdrptBPOC
C0007841,C0023884,DISRUPTS,Ceruloplasmin,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0009333,C0005854,DISRUPTS,Collagen Type IV,Blood - brain barrier anatomy,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0009498,C0746922,DISRUPTS,Complement System Proteins,Anatomic Node,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0010132,C0007776,DISRUPTS,Corticotropin-Releasing Hormone,Cerebral cortex,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0010682,C0022646,DISRUPTS,Cystine,Kidney,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0010682,C0023884,DISRUPTS,Cystine,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0010682,C0037993,DISRUPTS,Cystine,Spleen,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0010762,C1181034,DISRUPTS,Cytochrome P450,Posterior ramus of posterior segmental artery,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0015502,C0024204,DISRUPTS,factor VII,lymph nodes,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0015982,C4239921,DISRUPTS,Fibrin,Smooth muscle layer,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0016006,C0023884,DISRUPTS,Fibrinogen,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0016055,C0022646,DISRUPTS,Fibronectins,Kidney,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0016223,C0222070,DISRUPTS,Flavoproteins,Shell gland,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0017817,C0022646,DISRUPTS,Glutathione,Kidney,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0017837,C0023884,DISRUPTS,Glutathione S-Transferase,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0017890,C0023884,DISRUPTS,Glycine,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0018847,C0024109,DISRUPTS,Heat Shock Protein 27,Lung,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0019602,C0227308,DISRUPTS,Histidine,Jejunal mucous membrane,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0019647,C0006104,DISRUPTS,Histone H3,Brain,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0020960,C0024109,DISRUPTS,Immune Sera,Lung,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021641,C0023884,DISRUPTS,Insulin,Liver,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021666,C0022646,DISRUPTS,insulin-like growth factor 2,Kidney,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021666,C0736268,DISRUPTS,insulin-like growth factor 2,Liver parenchyma,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021755,C0005854,DISRUPTS,Interleukin-1,Blood - brain barrier anatomy,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021755,C0017420,DISRUPTS,Interleukin-1,Genitalia,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021755,C0022646,DISRUPTS,Interleukin-1,Kidney,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021755,C0024109,DISRUPTS,Interleukin-1,Lung,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021758,C3658298,DISRUPTS,Interleukin-4,External Lateral Ligament,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021760,C0024109,DISRUPTS,Interleukin-6,Lung,aapp,bpoc,3,DISRUPTS_AAPPdrptBPOC
C0021760,C0178784,DISRUPTS,Interleukin-6,Organ,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0021760,C0458827,DISRUPTS,Interleukin-6,Airway structure,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0022192,C0020885,DISRUPTS,Isoleucine,ileum,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0022453,C0929301,DISRUPTS,K-Casein,Mammary gland,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0022709,C0005847,DISRUPTS,Peptidyl-Dipeptidase A,Blood Vessel,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0022709,C0018787,DISRUPTS,Peptidyl-Dipeptidase A,Heart,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
C0023816,C0021853,DISRUPTS,LIPOPROTEIN LIPASE,Intestines,aapp,bpoc,1,DISRUPTS_AAPPdrptBPOC
