cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001053,C0042769,DISRUPTS,Acetylesterase,Virus Diseases,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0001271,C0524910,DISRUPTS,Actins,"Hepatitis C, Chronic",aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0001479,C0035235,DISRUPTS,Na(+)-K(+)-Exchanging ATPase,Respiratory Syncytial Virus Infections,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0001898,C0042769,DISRUPTS,Alanine,Virus Diseases,aapp,dsyn,2,DISRUPTS_AAPPdrptDSYN
C0001899,C1096155,DISRUPTS,Alanine Transaminase,Macrophage Activation Syndrome,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0001924,C4288963,DISRUPTS,Albumins,Hepatitis C Virus Infection,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0002199,C0151317,DISRUPTS,Interferon-alpha,Chronic infectious disease,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0002520,C0276500,DISRUPTS,Amino Acids,Human immunodeficiency virus I infection,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0002712,C0042769,DISRUPTS,Amylases,Virus Diseases,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0002723,C0221014,DISRUPTS,Serum amyloid A protein,Reactive systemic amyloidosis,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0002723,C0276500,DISRUPTS,Serum amyloid A protein,Human immunodeficiency virus I infection,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C0004364,DISRUPTS,Antibodies,Autoimmune Diseases,aapp,dsyn,2,DISRUPTS_AAPPdrptDSYN
C0003241,C0010823,DISRUPTS,Antibodies,Cytomegalovirus Infections,aapp,dsyn,2,DISRUPTS_AAPPdrptDSYN
C0003241,C0024115,DISRUPTS,Antibodies,Lung diseases,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C0035235,DISRUPTS,Antibodies,Respiratory Syncytial Virus Infections,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C0042749,DISRUPTS,Antibodies,Viremia,aapp,dsyn,3,DISRUPTS_AAPPdrptDSYN
C0003241,C0042769,DISRUPTS,Antibodies,Virus Diseases,aapp,dsyn,6,DISRUPTS_AAPPdrptDSYN
C0003241,C0043124,DISRUPTS,Antibodies,West Nile Fever,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C0206750,DISRUPTS,Antibodies,Coronavirus Infections,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C0276500,DISRUPTS,Antibodies,Human immunodeficiency virus I infection,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003241,C1175175,DISRUPTS,Antibodies,Severe Acute Respiratory Syndrome,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003242,C3669463,DISRUPTS,"Antibodies, Anti-Idiotypic",Feline immunodeficiency virus infection,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003250,C0002792,DISRUPTS,Monoclonal Antibodies,anaphylaxis,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003250,C0003864,DISRUPTS,Monoclonal Antibodies,Arthritis,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003250,C0009450,DISRUPTS,Monoclonal Antibodies,Communicable Diseases,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
C0003250,C0010823,DISRUPTS,Monoclonal Antibodies,Cytomegalovirus Infections,aapp,dsyn,5,DISRUPTS_AAPPdrptDSYN
C0003250,C0019693,DISRUPTS,Monoclonal Antibodies,HIV Infections,aapp,dsyn,1,DISRUPTS_AAPPdrptDSYN
