cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001268,C0597295,DISRUPTS,Spectinomycin,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0003082,C0597295,DISRUPTS,Anisomycin,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0003229,C0597295,DISRUPTS,Aurodox,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0003234,C0597095,DISRUPTS,Anthracycline Antibiotics,nucleic acid biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0003240,C0597295,DISRUPTS,Macrolide Antibiotics,Protein Biosynthesis,antb,moft,4,DISRUPTS_ANTBdrptMOFT
C0008947,C0597295,DISRUPTS,Clindamycin,Protein Biosynthesis,antb,moft,4,DISRUPTS_ANTBdrptMOFT
C0008947,C1155099,DISRUPTS,Clindamycin,cytokine biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0010572,C0597295,DISRUPTS,Cycloheximide,Protein Biosynthesis,antb,moft,24,DISRUPTS_ANTBdrptMOFT
C0013089,C0030013,DISRUPTS,Doxorubicin,Oxidative Phosphorylation,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0013089,C1753353,DISRUPTS,Doxorubicin,P-Glycoprotein Activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0014806,C0597295,DISRUPTS,Erythromycin,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0014806,C1817666,DISRUPTS,Erythromycin,phosphatidylinositol 3-kinase signaling,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0016095,C0599474,DISRUPTS,Filipin,cholesterol biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0022914,C0596562,DISRUPTS,Lactams,Fatty acid biosynthetic process,antb,moft,2,DISRUPTS_ANTBdrptMOFT
C0022914,C1149776,DISRUPTS,Lactams,N-acetylmuramoyl-L-alanine amidase activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0022914,C1150252,DISRUPTS,Lactams,chymotrypsin activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0026458,C0597295,DISRUPTS,Monobactams,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0026458,C1156162,DISRUPTS,Monobactams,peptidoglycan biosynthetic process,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0026933,C1150095,DISRUPTS,Mycophenolic Acid,peptidase activity,antb,moft,2,DISRUPTS_ANTBdrptMOFT
C0026933,C1157677,DISRUPTS,Mycophenolic Acid,purine nucleotide biosynthetic process,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0026933,C1157996,DISRUPTS,Mycophenolic Acid,Deubiquitination,antb,moft,2,DISRUPTS_ANTBdrptMOFT
C0028458,C1150095,DISRUPTS,Novobiocin,peptidase activity,antb,moft,2,DISRUPTS_ANTBdrptMOFT
C0028741,C0599474,DISRUPTS,Nystatin,cholesterol biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0028951,C1157577,DISRUPTS,Oligomycins,adenosine biosynthetic process,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0030092,C0597295,DISRUPTS,Oxytetracycline,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0030842,C0597295,DISRUPTS,Penicillins,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0030842,C1155099,DISRUPTS,Penicillins,cytokine biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0035609,C0597095,DISRUPTS,Rifamycins,nucleic acid biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0035609,C1328948,DISRUPTS,Rifamycins,RNA biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0038675,C1157038,DISRUPTS,Sulfadiazine,Folate Biosynthesis Pathway,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0040341,C0597295,DISRUPTS,Tobramycin,Protein Biosynthesis,antb,moft,2,DISRUPTS_ANTBdrptMOFT
C0041041,C1157038,DISRUPTS,Trimethoprim,Folate Biosynthesis Pathway,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0041385,C1152079,DISRUPTS,Tunicamycin,"alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0041385,C1157190,DISRUPTS,Tunicamycin,polysaccharide biosynthetic process,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0041385,C3146300,DISRUPTS,Tunicamycin,Glycoprotein biosynthetic process,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0054036,C1157367,DISRUPTS,Brefeldin A,Ganglioside Biosynthesis Pathway,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0065002,C0597295,DISRUPTS,Lincosamides,Protein Biosynthesis,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0072980,C0031715,DISRUPTS,Sirolimus,Phosphorylation,antb,moft,5,DISRUPTS_ANTBdrptMOFT
C0073591,C0030013,DISRUPTS,rosoxacin,Oxidative Phosphorylation,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0073591,C0086982,DISRUPTS,rosoxacin,Signal Transduction Pathways,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0073591,C1148564,DISRUPTS,rosoxacin,antioxidant activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0073591,C1150479,DISRUPTS,rosoxacin,1-phosphatidylinositol 4-kinase activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
C0073591,C1150587,DISRUPTS,rosoxacin,JUN kinase activity,antb,moft,1,DISRUPTS_ANTBdrptMOFT
