cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001026,C0034345,DISRUPTS,Acetyl Coenzyme A,Pyruvate Dehydrogenase Complex Deficiency Disease,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0001443,C0878773,DISRUPTS,Adenosine,Overactive Bladder,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0001468,C0004096,DISRUPTS,Adenosine Phosphosulfate,Asthma,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0006675,C0022661,DISRUPTS,Calcium,"Kidney Failure, Chronic",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0007289,C0442886,DISRUPTS,Carrageenan,Secondary Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0004623,DISRUPTS,Cholesterol,Bacterial Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0035869,DISRUPTS,Cholesterol,Rotavirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0042769,DISRUPTS,Cholesterol,Virus Diseases,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0008377,C0276500,DISRUPTS,Cholesterol,Human immunodeficiency virus I infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0009968,C0206750,DISRUPTS,Copper,Coronavirus Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0010294,C0003123,DISRUPTS,Creatinine,Anorexia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0010658,C1840364,DISRUPTS,Cysteine Proteinase Inhibitors,"THYROID HORMONE RESISTANCE, SELECTIVE PITUITARY",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0012854,C0019348,DISRUPTS,DNA,Herpes Simplex Infections,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0012854,C0032285,DISRUPTS,DNA,Pneumonia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0012925,C0042749,DISRUPTS,"DNA, Circular",Viremia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0013030,C0036690,DISRUPTS,Dopamine,Septicemia,bacs,dsyn,2,DISRUPTS_BACSdrptDSYN
C0013982,C1175175,DISRUPTS,Emodin,Severe Acute Respiratory Syndrome,bacs,dsyn,3,DISRUPTS_BACSdrptDSYN
C0016693,C0020473,DISRUPTS,Free Radicals,Hyperlipidemia,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0016896,C0268274,DISRUPTS,G(M2) Ganglioside,"Gangliosidoses, GM2",bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0016960,C0019158,DISRUPTS,Galactosylceramides,Hepatitis,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
C0016960,C0276500,DISRUPTS,Galactosylceramides,Human immunodeficiency virus I infection,bacs,dsyn,1,DISRUPTS_BACSdrptDSYN
