cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0598934,DISRUPTS,Eicosapentaenoic Acid,tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0002976,C1658953,DISRUPTS,Angiogenesis Factor,tumor vasculature,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0012854,C0027651,DISRUPTS,DNA,Neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0012854,C0598934,DISRUPTS,DNA,tumor growth,bacs,neop,3,DISRUPTS_BACSdrptNEOP
C0013982,C0007621,DISRUPTS,Emodin,Neoplastic Cell Transformation,bacs,neop,3,DISRUPTS_BACSdrptNEOP
C0013982,C0153676,DISRUPTS,Emodin,Secondary malignant neoplasm of lung,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0013982,C0598934,DISRUPTS,Emodin,tumor growth,bacs,neop,3,DISRUPTS_BACSdrptNEOP
C0013982,C1516170,DISRUPTS,Emodin,Cancer Cell Growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0013982,C1519670,DISRUPTS,Emodin,Tumor Angiogenesis,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0019134,C2939419,DISRUPTS,heparin,Secondary Neoplasm,bacs,neop,4,DISRUPTS_BACSdrptNEOP
C0032136,C0598934,DISRUPTS,Plasmids,tumor growth,bacs,neop,3,DISRUPTS_BACSdrptNEOP
C0036733,C0178874,DISRUPTS,Serine Proteinase Inhibitors,Tumor Progression,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0060060,C2939419,DISRUPTS,fangchinoline,Secondary Neoplasm,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0060656,C0014522,DISRUPTS,formononetin,Epidermodysplasia Verruciformis,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0060656,C0027651,DISRUPTS,formononetin,Neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0061104,C0598934,DISRUPTS,"ganglioside, GD2",tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0061202,C0027651,DISRUPTS,Genistein,Neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0061202,C0596263,DISRUPTS,Genistein,Carcinogenesis,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0061202,C0598934,DISRUPTS,Genistein,tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0062006,C0027651,DISRUPTS,Gur,Neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0065335,C0853879,DISRUPTS,lycorine,Invasive carcinoma of breast,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0067762,C0006826,DISRUPTS,N-Acetylneuraminic Acid,Malignant Neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0070558,C0596263,DISRUPTS,phenethyl isothiocyanate,Carcinogenesis,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0079249,C0023903,DISRUPTS,"DNA, Antisense",Liver neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0079249,C0235974,DISRUPTS,"DNA, Antisense",Pancreatic carcinoma,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0079925,C0598934,DISRUPTS,Antisense Oligonucleotides,tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0086860,C0598934,DISRUPTS,promoter,tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0577749,C0596263,DISRUPTS,Phytochemicals,Carcinogenesis,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C0751969,C0021367,DISRUPTS,Small Nucleolar RNA,Mammary Ductal Carcinoma,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C1099354,C0023903,DISRUPTS,"RNA, Small Interfering",Liver neoplasms,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C1099354,C0235974,DISRUPTS,"RNA, Small Interfering",Pancreatic carcinoma,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C1099354,C0598934,DISRUPTS,"RNA, Small Interfering",tumor growth,bacs,neop,4,DISRUPTS_BACSdrptNEOP
C1099354,C1516170,DISRUPTS,"RNA, Small Interfering",Cancer Cell Growth,bacs,neop,2,DISRUPTS_BACSdrptNEOP
C1099354,C2939419,DISRUPTS,"RNA, Small Interfering",Secondary Neoplasm,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C1101610,C0006826,DISRUPTS,MicroRNAs,Malignant Neoplasms,bacs,neop,3,DISRUPTS_BACSdrptNEOP
C1101610,C2239176,DISRUPTS,MicroRNAs,Liver carcinoma,bacs,neop,1,DISRUPTS_BACSdrptNEOP
C2003193,C0598934,DISRUPTS,thiacremonone,tumor growth,bacs,neop,1,DISRUPTS_BACSdrptNEOP
