cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0301872,DISRUPTS,Eicosapentaenoic Acid,Immune response,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0006675,C3271351,DISRUPTS,Calcium,parathyroid hormone secretion,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0008013,C0302600,DISRUPTS,Chemotactic Factors,Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0009148,C0036658,DISRUPTS,Cobalt,Esthesia,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0012854,C0301872,DISRUPTS,DNA,Immune response,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0012854,C0520990,DISRUPTS,DNA,Host defense,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0014587,C0301872,DISRUPTS,Episomes,Immune response,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0031516,C0029965,DISRUPTS,Pheromone,Ovulation,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0035696,C0302600,DISRUPTS,"RNA, Messenger",Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0037380,C1155937,DISRUPTS,Snake Venoms,smooth muscle contraction,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0037473,C0042401,DISRUPTS,Sodium,Vasodilation,bacs,ortf,2,DISRUPTS_BACSdrptORTF
C0040549,C0282557,DISRUPTS,Toxin,"Immune Response, Mucosal",bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0040549,C0301872,DISRUPTS,Toxin,Immune response,bacs,ortf,4,DISRUPTS_BACSdrptORTF
C0040549,C0520990,DISRUPTS,Toxin,Host defense,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0532025,C0302600,DISRUPTS,insulin-like growth factor binding protein-related protein 1,Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0600508,C0302600,DISRUPTS,Response Elements,Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C0887859,C0301872,DISRUPTS,Intergenic Region,Immune response,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1099354,C0029433,DISRUPTS,"RNA, Small Interfering",Osteogenesis,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1099354,C0301872,DISRUPTS,"RNA, Small Interfering",Immune response,bacs,ortf,2,DISRUPTS_BACSdrptORTF
C1099354,C0302600,DISRUPTS,"RNA, Small Interfering",Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1099354,C0678860,DISRUPTS,"RNA, Small Interfering",systemic blood circulation,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1099354,C4048282,DISRUPTS,"RNA, Small Interfering",Airway resistance,bacs,ortf,2,DISRUPTS_BACSdrptORTF
C1101610,C0301872,DISRUPTS,MicroRNAs,Immune response,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1101610,C0302600,DISRUPTS,MicroRNAs,Angiogenic Process,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1101610,C0520990,DISRUPTS,MicroRNAs,Host defense,bacs,ortf,1,DISRUPTS_BACSdrptORTF
C1566558,C0302600,DISRUPTS,Natural Products,Angiogenic Process,bacs,ortf,2,DISRUPTS_BACSdrptORTF
