cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003374,C0184511,DISRUPTS,Antimalarials,Improved,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C0003374,C0332149,DISRUPTS,Antimalarials,Possible,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C0003451,C0376705,DISRUPTS,Antiviral Agents,Viral Load result,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C0012798,C0020649,DISRUPTS,Diuretics,Hypotension,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C0054066,C3842672,DISRUPTS,Amoxicillin / Clavulanate,Day 7,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C0719214,C3841842,DISRUPTS,century,Person 2,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C1136254,C0038435,DISRUPTS,Microbicides,Stress,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C1136254,C3842672,DISRUPTS,Microbicides,Day 7,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C1874451,C0332149,DISRUPTS,Basis,Possible,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C2987634,C0039231,DISRUPTS,Agonist,Tachycardia,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C4305959,C1382398,DISRUPTS,FX06,Increased capillary permeability (finding),phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
C4305959,C1444783,DISRUPTS,FX06,Instability,phsu,fndg,1,DISRUPTS_PHSUdrptFNDG
