cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001443,C1540087,HIGHER_THAN,Adenosine,TSPAN7 gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0005437,C0002594,HIGHER_THAN,Bilirubin,Transaminases,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0005437,C1415181,HIGHER_THAN,Bilirubin,GOT1 gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0012854,C0003241,HIGHER_THAN,DNA,Antibodies,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0012854,C0034861,HIGHER_THAN,DNA,Recombinant Proteins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0012854,C0079941,HIGHER_THAN,DNA,Open Reading Frames,bacs,aapp,2,HIGHER_THAN_BACShghtAAPP
C0012854,C0080125,HIGHER_THAN,DNA,Catalytic RNA,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0012854,C1567950,HIGHER_THAN,DNA,alisporivir,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0012854,C1883559,HIGHER_THAN,DNA,Wild Type,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0014587,C0042736,HIGHER_THAN,Episomes,Viral Proteins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0017725,C0017797,HIGHER_THAN,Glucose,Glutamine,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0017950,C0751973,HIGHER_THAN,Glycolipids,Proteome,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0028158,C1883559,HIGHER_THAN,Nitrogen,Wild Type,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0030234,C0001924,HIGHER_THAN,Palmitic Acid,Albumins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0032136,C0082584,HIGHER_THAN,Plasmids,Tacrolimus Binding Proteins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0032821,C4520836,HIGHER_THAN,Potassium,"Pro-Thyrotropin-Releasing Hormone, human",bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0035693,C0082584,HIGHER_THAN,"RNA, Double-Stranded",Tacrolimus Binding Proteins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0035693,C1837808,HIGHER_THAN,"RNA, Double-Stranded",DHX58 gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0035696,C0002520,HIGHER_THAN,"RNA, Messenger",Amino Acids,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0035701,C0035899,HIGHER_THAN,Ribosomal RNA,Ribosomal RNA Genes,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0036751,C0041249,HIGHER_THAN,Serotonin,Tryptophan,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0040549,C0006055,HIGHER_THAN,Toxin,Botulinum Toxins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0042010,C1413666,HIGHER_THAN,Uridine Triphosphate,CPB2 gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0043481,C0596918,HIGHER_THAN,Zinc,metalloenzyme,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0056912,C1865069,HIGHER_THAN,cytidylyl-3'-5'-guanosine,NINL gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0236556,C0002594,HIGHER_THAN,Direct reacting bilirubin,Transaminases,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0242494,C0042720,HIGHER_THAN,Poly(A) Tail,Viral Genome,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0242850,C0305052,HIGHER_THAN,Retroelements,Gamma globulin serum,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0302583,C1135611,HIGHER_THAN,Iron,Iron-Binding Proteins,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C0764864,C0023764,HIGHER_THAN,DDMS,Lipase,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1099354,C0002199,HIGHER_THAN,"RNA, Small Interfering",Interferon-alpha,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1099354,C0031727,HIGHER_THAN,"RNA, Small Interfering",Phosphotransferases,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1764827,C0003241,HIGHER_THAN,Isolate - microorganism,Antibodies,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1764827,C0537439,HIGHER_THAN,Isolate - microorganism,enfuvirtide,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1764827,C1334043,HIGHER_THAN,Isolate - microorganism,Homologous Gene,bacs,aapp,1,HIGHER_THAN_BACShghtAAPP
C1764827,C1422064,HIGHER_THAN,Isolate - microorganism,ACE2 gene,bacs,aapp,2,HIGHER_THAN_BACShghtAAPP
