cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0085104,C0030946,HIGHER_THAN,Drug Delivery Systems,Endopeptidases,medd,aapp,2,HIGHER_THAN_MEDDhghtAAPP
C0175723,C0065827,HIGHER_THAN,Bands,Measles Virus Nucleoprotein,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0175723,C0086376,HIGHER_THAN,Bands,GTP-Binding Proteins,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0175723,C1136102,HIGHER_THAN,Bands,Capsid Proteins,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0175723,C1305923,HIGHER_THAN,Bands,Polypeptides,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0175723,C1442738,HIGHER_THAN,Bands,PABPC1 gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0175723,C1522002,HIGHER_THAN,Bands,RNA Recognition Motif,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0178987,C0003241,HIGHER_THAN,Artificial Airways,Antibodies,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0180979,C0042736,HIGHER_THAN,Frame (physical object),Viral Proteins,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0182400,C1334043,HIGHER_THAN,Probes,Homologous Gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0182537,C4284302,HIGHER_THAN,pump (device),EHD1 wt Allele,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C0450240,C1426667,HIGHER_THAN,Cassette (physical object),USP45 gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C1139930,C0027015,HIGHER_THAN,Device Plate,Myeloma Proteins,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C1260969,C0165174,HIGHER_THAN,Ring device,MDL 28170,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C1314650,C3540252,HIGHER_THAN,"SUPPLY, NOT OTHERWISE SPECIFIED",PYURF gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C1321866,C1412871,HIGHER_THAN,Sterilizing Units,VPS51 gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
C1706912,C1420652,HIGHER_THAN,BARRIER,TCN1 gene,medd,aapp,1,HIGHER_THAN_MEDDhghtAAPP
