cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002062,C1566558,HIGHER_THAN,Alkaloids,Natural Products,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0012963,C0013030,HIGHER_THAN,Dobutamine,Dopamine,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0016786,C0017725,HIGHER_THAN,Fucose,Glucose,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0016967,C0065335,HIGHER_THAN,Galantamine,lycorine,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0019139,C0019134,HIGHER_THAN,"Heparin, Low-Molecular-Weight",heparin,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0024742,C0017725,HIGHER_THAN,Mannose,Glucose,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0026492,C0022949,HIGHER_THAN,Monosaccharides,Lactose,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0034140,C0034289,HIGHER_THAN,Purines,Pyrimidines,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0045283,C0041980,HIGHER_THAN,tempol,Uric Acid,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0052080,C0012854,HIGHER_THAN,antineoplaston A10,DNA,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0061751,C0038636,HIGHER_THAN,Glycyrrhizic Acid,Sucrose,orch,bacs,3,HIGHER_THAN_ORCHhghtBACS
C0066776,C0056912,HIGHER_THAN,monophosphoryl lipid A,cytidylyl-3'-5'-guanosine,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0225326,C0007648,HIGHER_THAN,Fiber,Cellulose,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0637815,C0013030,HIGHER_THAN,eckol,Dopamine,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C0769354,C0064841,HIGHER_THAN,"9,10-dihydroxy-12-octadecenoic acid",leukotoxin,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
C1881354,C0012854,HIGHER_THAN,L-lactate,DNA,orch,bacs,1,HIGHER_THAN_ORCHhghtBACS
