cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000530,C0039198,INTERACTS_WITH,5'-NUCLEOTIDASE,Regulatory T-Lymphocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001109,C0225336,INTERACTS_WITH,Acid Phosphatase,Endothelial Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0001271,C0085080,INTERACTS_WITH,Actins,Chinese Hamster Ovary Cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001347,C0023516,INTERACTS_WITH,Acute-Phase Proteins,Leukocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001473,C0225336,INTERACTS_WITH,Adenosine Triphosphatases,Endothelial Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0001479,C0206131,INTERACTS_WITH,Na(+)-K(+)-Exchanging ATPase,Adipocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001479,C0552639,INTERACTS_WITH,Na(+)-K(+)-Exchanging ATPase,tubular cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001479,C3714800,INTERACTS_WITH,Na(+)-K(+)-Exchanging ATPase,SCID-Repopulating Cell,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0001898,C0014792,INTERACTS_WITH,Alanine,Erythrocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0001924,C0042542,INTERACTS_WITH,Albumins,Vero Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002191,C0026473,INTERACTS_WITH,alpha 1-Antitrypsin,Monocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0022688,INTERACTS_WITH,Interferon-alpha,Natural Killer Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0024432,INTERACTS_WITH,Interferon-alpha,macrophage,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0039195,INTERACTS_WITH,Interferon-alpha,Cytotoxic T-Lymphocytes,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002199,C0085236,INTERACTS_WITH,Interferon-alpha,"Macrophages, Alveolar",aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0086574,INTERACTS_WITH,Interferon-alpha,Lymphoid Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002199,C0221284,INTERACTS_WITH,Interferon-alpha,Leptocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C0282560,INTERACTS_WITH,Interferon-alpha,Caco-2 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C1321301,INTERACTS_WITH,Interferon-alpha,Peripheral blood mononuclear cell (cell),aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002199,C4330475,INTERACTS_WITH,Interferon-alpha,Immune Cell,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002318,C0682542,INTERACTS_WITH,alpha-Tubulin,ciliated cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C0014597,INTERACTS_WITH,Amino Acids,Epithelial Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C0014792,INTERACTS_WITH,Amino Acids,Erythrocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C0037868,INTERACTS_WITH,Amino Acids,sperm cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C0085236,INTERACTS_WITH,Amino Acids,"Macrophages, Alveolar",aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002520,C0376702,INTERACTS_WITH,Amino Acids,COS Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002520,C0553257,INTERACTS_WITH,Amino Acids,Epithelial cell of renal tubule,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002520,C3494245,INTERACTS_WITH,Amino Acids,Sf9 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002523,C0597694,INTERACTS_WITH,"Amino Acids, Diamino",Xenopus oocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002570,C0014597,INTERACTS_WITH,Aminopeptidase,Epithelial Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002723,C0005955,INTERACTS_WITH,Serum amyloid A protein,Bone Marrow Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002723,C0225369,INTERACTS_WITH,Serum amyloid A protein,Chondrocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0004827,INTERACTS_WITH,Anaphylatoxins,Basophils,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0014467,INTERACTS_WITH,Anaphylatoxins,eosinophil,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0024432,INTERACTS_WITH,Anaphylatoxins,macrophage,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0024880,INTERACTS_WITH,Anaphylatoxins,mast cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0026473,INTERACTS_WITH,Anaphylatoxins,Monocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0002791,C0027950,INTERACTS_WITH,Anaphylatoxins,neutrophil,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0002791,C4330475,INTERACTS_WITH,Anaphylatoxins,Immune Cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003009,C0227525,INTERACTS_WITH,angiotensin II,Hepatocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003009,C0596981,INTERACTS_WITH,angiotensin II,Muscle Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003017,C0004112,INTERACTS_WITH,Angiotensinogen,Astrocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003018,C0206131,INTERACTS_WITH,Angiotensins,Adipocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0004112,INTERACTS_WITH,Antibodies,Astrocytes,aapp,cell,3,INTERACTS_WITH_AAPPitawCELL
C0003241,C0004561,INTERACTS_WITH,Antibodies,B-Lymphocytes,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0009013,INTERACTS_WITH,Antibodies,Clone Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0014467,INTERACTS_WITH,Antibodies,eosinophil,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0014597,INTERACTS_WITH,Antibodies,Epithelial Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0014792,INTERACTS_WITH,Antibodies,Erythrocytes,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0015161,INTERACTS_WITH,Antibodies,Eukaryotic Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0017473,INTERACTS_WITH,Antibodies,Germ Line,aapp,cell,3,INTERACTS_WITH_AAPPitawCELL
C0003241,C0017526,INTERACTS_WITH,Antibodies,Giant Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0018894,INTERACTS_WITH,Antibodies,Helper-Inducer T-Lymphocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0022688,INTERACTS_WITH,Antibodies,Natural Killer Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0023516,INTERACTS_WITH,Antibodies,Leukocytes,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0024264,INTERACTS_WITH,Antibodies,Lymphocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0024432,INTERACTS_WITH,Antibodies,macrophage,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0027836,INTERACTS_WITH,Antibodies,Neuroglia,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0027882,INTERACTS_WITH,Antibodies,Neurons,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0027950,INTERACTS_WITH,Antibodies,neutrophil,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0028944,INTERACTS_WITH,Antibodies,Oligodendroglia,aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0029974,INTERACTS_WITH,Antibodies,Ovum,aapp,cell,3,INTERACTS_WITH_AAPPitawCELL
C0003241,C0031307,INTERACTS_WITH,Antibodies,Phagocytes,aapp,cell,3,INTERACTS_WITH_AAPPitawCELL
C0003241,C0032112,INTERACTS_WITH,Antibodies,Plasma Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0038250,INTERACTS_WITH,Antibodies,Stem cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0039194,INTERACTS_WITH,Antibodies,T-Lymphocyte,aapp,cell,7,INTERACTS_WITH_AAPPitawCELL
C0003241,C0039195,INTERACTS_WITH,Antibodies,Cytotoxic T-Lymphocytes,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0042542,INTERACTS_WITH,Antibodies,Vero Cells,aapp,cell,8,INTERACTS_WITH_AAPPitawCELL
C0003241,C0085080,INTERACTS_WITH,Antibodies,Chinese Hamster Ovary Cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0085087,INTERACTS_WITH,Antibodies,3T3 Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0085983,INTERACTS_WITH,Antibodies,"Cell Line, Tumor",aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0206116,INTERACTS_WITH,Antibodies,Microglia,aapp,cell,3,INTERACTS_WITH_AAPPitawCELL
C0003241,C0221284,INTERACTS_WITH,Antibodies,Leptocyte,aapp,cell,7,INTERACTS_WITH_AAPPitawCELL
C0003241,C0225336,INTERACTS_WITH,Antibodies,Endothelial Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0334227,INTERACTS_WITH,Antibodies,"Tumor cells, malignant",aapp,cell,4,INTERACTS_WITH_AAPPitawCELL
C0003241,C0440752,INTERACTS_WITH,Antibodies,Inflammatory cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0444746,INTERACTS_WITH,Antibodies,Endocyte,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0596981,INTERACTS_WITH,Antibodies,Muscle Cells,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0598829,INTERACTS_WITH,Antibodies,Madin Darby Canine Kidney Cells,aapp,cell,2,INTERACTS_WITH_AAPPitawCELL
C0003241,C0599757,INTERACTS_WITH,Antibodies,Microfold cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0599856,INTERACTS_WITH,Antibodies,Muscle satellite cell,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0682523,INTERACTS_WITH,Antibodies,human cell line,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
C0003241,C0682610,INTERACTS_WITH,Antibodies,Enterocytes,aapp,cell,1,INTERACTS_WITH_AAPPitawCELL
