cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003063,C0026584,INTERACTS_WITH,"Animals, Domestic",Culicidae,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0003063,C0040203,INTERACTS_WITH,"Animals, Domestic",Ticks,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0003063,C0040557,INTERACTS_WITH,"Animals, Domestic",Toxoplasma gondii,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0003063,C0598741,INTERACTS_WITH,"Animals, Domestic",Ixodidae,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0003064,C0030498,INTERACTS_WITH,"Animals, Laboratory",Parasites,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0003070,C1744526,INTERACTS_WITH,"Animals, Wild",Cryptosporidium,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0003121,INTERACTS_WITH,Disease Vectors,Anoplura,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0016228,INTERACTS_WITH,Disease Vectors,Fleas,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0021585,INTERACTS_WITH,Disease Vectors,Insecta,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0030498,INTERACTS_WITH,Disease Vectors,Parasites,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0322833,INTERACTS_WITH,Disease Vectors,Aedes taeniorhynchus,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0012656,C0562676,INTERACTS_WITH,Disease Vectors,Insect larva,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0162318,C1744526,INTERACTS_WITH,Farm Animals,Cryptosporidium,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0684068,C0021585,INTERACTS_WITH,higher animals,Insecta,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C0869004,C0030498,INTERACTS_WITH,pests,Parasites,anim,euka,2,INTERACTS_WITH_ANIMitawEUKA
C1511501,C0039686,INTERACTS_WITH,Control Animal,Tetrameres,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C1554184,C1067936,INTERACTS_WITH,Dual,Phasis,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
C2936506,C1706526,INTERACTS_WITH,Livestock,Class Cestoda,anim,euka,1,INTERACTS_WITH_ANIMitawEUKA
