cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001026,C0596072,INTERACTS_WITH,Acetyl Coenzyme A,amino group,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0001443,C0042305,INTERACTS_WITH,Adenosine,Vanadates,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0005390,C0038720,INTERACTS_WITH,Bile Acids,"Sulfates, Inorganic",bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0006675,C0013832,INTERACTS_WITH,Calcium,Electrolytes,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0006675,C0025552,INTERACTS_WITH,Calcium,Metals,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0006675,C0029356,INTERACTS_WITH,Calcium,Orthophosphate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0007012,C0005367,INTERACTS_WITH,Carbon Dioxide,Bicarbonates,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0007412,C0038720,INTERACTS_WITH,Catecholamines,"Sulfates, Inorganic",bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0008377,C0038720,INTERACTS_WITH,Cholesterol,"Sulfates, Inorganic",bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0009968,C0025552,INTERACTS_WITH,Copper,Metals,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0009968,C3536923,INTERACTS_WITH,Copper,Silver Compounds,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0010843,C0063088,INTERACTS_WITH,Cytosine,hydrogen sulfite,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0012264,C0146894,INTERACTS_WITH,Digoxigenin,triphosphate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0012854,C0002371,INTERACTS_WITH,DNA,Aluminum Hydroxide,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0012854,C0008838,INTERACTS_WITH,DNA,Cisplatin,bacs,inch,2,INTERACTS_WITH_BACSitawINCH
C0012854,C0063088,INTERACTS_WITH,DNA,hydrogen sulfite,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0015691,C0005367,INTERACTS_WITH,"Fatty Acids, Volatile",Bicarbonates,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0017725,C0043047,INTERACTS_WITH,Glucose,Water,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0017861,C0066503,INTERACTS_WITH,Glycerin,Mica,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0019134,C0038720,INTERACTS_WITH,heparin,"Sulfates, Inorganic",bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0019134,C0074745,INTERACTS_WITH,heparin,metaperiodate,bacs,inch,3,INTERACTS_WITH_BACSitawINCH
C0024467,C0025552,INTERACTS_WITH,Magnesium,Metals,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0024706,C0146894,INTERACTS_WITH,Manganese,triphosphate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028128,C0020281,INTERACTS_WITH,Nitric Oxide,Hydrogen Peroxide,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028158,C0002607,INTERACTS_WITH,Nitrogen,Ammonia,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028158,C0002611,INTERACTS_WITH,Nitrogen,Ammonium,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028158,C0596259,INTERACTS_WITH,Nitrogen,carbonyl group,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028606,C0599533,INTERACTS_WITH,Nucleic Acids,phosphorothioate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0028606,C0947678,INTERACTS_WITH,Nucleic Acids,Celite,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0030054,C0596259,INTERACTS_WITH,Oxygen,carbonyl group,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
C0031621,C0029356,INTERACTS_WITH,Phosphatidylinositols,Orthophosphate,bacs,inch,1,INTERACTS_WITH_BACSitawINCH
