cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002040,C0007448,INTERACTS_WITH,Alginates,"Cations, Divalent",bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0009361,C0597177,INTERACTS_WITH,Colloids,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C0596383,INTERACTS_WITH,Gel,Copolymer,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C0597177,INTERACTS_WITH,Gel,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0017243,C1138408,INTERACTS_WITH,Gel,"Nanotubes, Carbon",bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0032483,C0597177,INTERACTS_WITH,Polyethylene Glycols,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0032521,C0178735,INTERACTS_WITH,Polymers,macromolecule,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0032521,C0596973,INTERACTS_WITH,Polymers,monomer,bodm,chvs,3,INTERACTS_WITH_BODMitawCHVS
C0032521,C0597177,INTERACTS_WITH,Polymers,Particle,bodm,chvs,4,INTERACTS_WITH_BODMitawCHVS
C0032521,C1704241,INTERACTS_WITH,Polymers,complex (molecular entity),bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0033086,C0597177,INTERACTS_WITH,Pharmaceutical Preservatives,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0038960,C0036140,INTERACTS_WITH,Suspensions,Salts,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0038960,C1704241,INTERACTS_WITH,Suspensions,complex (molecular entity),bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0284447,C0597177,INTERACTS_WITH,Simulate composite resin,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0534010,C0007447,INTERACTS_WITH,One-Step dentin bonding system,Cations,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C0993610,C0036140,INTERACTS_WITH,Oral Pellet,Salts,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C1563732,C0597177,INTERACTS_WITH,Dendrimers,Particle,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
C1880165,C0036140,INTERACTS_WITH,Concentrate Dosage Form,Salts,bodm,chvs,1,INTERACTS_WITH_BODMitawCHVS
