cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002154,C0022023,INTERACTS_WITH,Alloys,Ions,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0013161,C2936695,INTERACTS_WITH,Drug Carriers,Graphene,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0032521,C0022023,INTERACTS_WITH,Polymers,Ions,bodm,elii,5,INTERACTS_WITH_BODMitawELII
C0032521,C0032207,INTERACTS_WITH,Polymers,Platinum,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0032604,C0071526,INTERACTS_WITH,Polystyrenes,polycations,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0037098,C0018026,INTERACTS_WITH,Silicon Dioxide,Gold,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0038960,C3848561,INTERACTS_WITH,Suspensions,ferric cation,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0071599,C0003075,INTERACTS_WITH,polylactic acid-polyglycolic acid copolymer,Anions,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0071599,C0022023,INTERACTS_WITH,polylactic acid-polyglycolic acid copolymer,Ions,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C0600190,C0037107,INTERACTS_WITH,Nitrocellulose,Silicon,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C1272883,C0022023,INTERACTS_WITH,Injection,Ions,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C1306073,C0022023,INTERACTS_WITH,Germicide,Ions,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C1518434,C0007009,INTERACTS_WITH,Nuclear Extract,Carbon,bodm,elii,1,INTERACTS_WITH_BODMitawELII
C4277727,C2346927,INTERACTS_WITH,Polyelectrolytes,Magnesium Cation,bodm,elii,1,INTERACTS_WITH_BODMitawELII
