cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007447,C0003075,INTERACTS_WITH,Cations,Anions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0007447,C0022023,INTERACTS_WITH,Cations,Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0007447,C0567415,INTERACTS_WITH,Cations,Atom (substance),chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0007448,C0003075,INTERACTS_WITH,"Cations, Divalent",Anions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0012771,C0018026,INTERACTS_WITH,Disulfides,Gold,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0012771,C0022023,INTERACTS_WITH,Disulfides,Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0017110,C0302920,INTERACTS_WITH,Gases,Molecular oxygen,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0028125,C0301294,INTERACTS_WITH,Nitrates,Nitrogen gas,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0036140,C0022023,INTERACTS_WITH,Salts,Ions,chvs,elii,2,INTERACTS_WITH_CHVSitawELII
C0178735,C0071526,INTERACTS_WITH,macromolecule,polycations,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0243072,C2936695,INTERACTS_WITH,derivatives,Graphene,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0302912,C0302920,INTERACTS_WITH,Radicals (chemistry),Molecular oxygen,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0303231,C0003075,INTERACTS_WITH,Lead compound,Anions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0444626,C0567415,INTERACTS_WITH,Crystal Structure,Atom (substance),chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0444626,C0596019,INTERACTS_WITH,Crystal Structure,Chloride Ion,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0596383,C0037107,INTERACTS_WITH,Copolymer,Silicon,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0596448,C0005642,INTERACTS_WITH,dimer,Bismuth,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0596448,C0008209,INTERACTS_WITH,dimer,Chlorine,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0596448,C0022023,INTERACTS_WITH,dimer,Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0596913,C0022023,INTERACTS_WITH,Coordination Complexes,Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C0008209,INTERACTS_WITH,Particle,Chlorine,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C0018026,INTERACTS_WITH,Particle,Gold,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C0022023,INTERACTS_WITH,Particle,Ions,chvs,elii,3,INTERACTS_WITH_CHVSitawELII
C0597177,C0037684,INTERACTS_WITH,Particle,Soot,chvs,elii,2,INTERACTS_WITH_CHVSitawELII
C0597177,C0039411,INTERACTS_WITH,Particle,Technetium,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C0596235,INTERACTS_WITH,Particle,Calcium ion,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C0597484,INTERACTS_WITH,Particle,Sodium Cation,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C0597177,C2346661,INTERACTS_WITH,Particle,Pb2+,chvs,elii,2,INTERACTS_WITH_CHVSitawELII
C0597488,C0022023,INTERACTS_WITH,solute,Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C1138408,C0013852,INTERACTS_WITH,"Nanotubes, Carbon",Electrons,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C1704241,C0005642,INTERACTS_WITH,complex (molecular entity),Bismuth,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C1704241,C0022023,INTERACTS_WITH,complex (molecular entity),Ions,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C1704241,C0025554,INTERACTS_WITH,complex (molecular entity),"Metals, Alkali",chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C1704241,C0682906,INTERACTS_WITH,complex (molecular entity),Transition Elements,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
C3536917,C0025424,INTERACTS_WITH,Mercury Compounds,Mercury,chvs,elii,1,INTERACTS_WITH_CHVSitawELII
