cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003075,C0025552,INTERACTS_WITH,Anions,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0006632,C0025552,INTERACTS_WITH,Cadmium,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0013852,C0025552,INTERACTS_WITH,Electrons,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0013852,C0043047,INTERACTS_WITH,Electrons,Water,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0020275,C0043047,INTERACTS_WITH,Hydrogen,Water,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0022023,C0008203,INTERACTS_WITH,Ions,Chlorides,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0021966,INTERACTS_WITH,Ions,Iodides,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0025552,INTERACTS_WITH,Ions,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0031603,INTERACTS_WITH,Ions,Phosphates,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0034320,INTERACTS_WITH,Ions,Diphosphates,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0043047,INTERACTS_WITH,Ions,Water,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0022023,C0063146,INTERACTS_WITH,Ions,Hydroxyl Radical,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0022023,C0074744,INTERACTS_WITH,Ions,sodium metabisulfite,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C0772313,INTERACTS_WITH,Ions,colloidal silver,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0022023,C3536832,INTERACTS_WITH,Ions,Air,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0025554,C0302921,INTERACTS_WITH,"Metals, Alkali",Strong acid,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0037125,C0025552,INTERACTS_WITH,Silver,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0037125,C0772313,INTERACTS_WITH,Silver,colloidal silver,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0070471,C0043047,INTERACTS_WITH,perrhenate,Water,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0122922,C0303749,INTERACTS_WITH,Hypochlorite,Bleach,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0220853,C0002055,INTERACTS_WITH,Hydroxide Ion,Alkalies,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0260055,C0013239,INTERACTS_WITH,Liquid nitrogen,Dry Ice,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0567415,C0025552,INTERACTS_WITH,Atom (substance),Metals,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0567415,C0043047,INTERACTS_WITH,Atom (substance),Water,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0596019,C0043047,INTERACTS_WITH,Chloride Ion,Water,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0596235,C0596259,INTERACTS_WITH,Calcium ion,carbonyl group,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0597484,C0002055,INTERACTS_WITH,Sodium Cation,Alkalies,elii,inch,2,INTERACTS_WITH_ELIIitawINCH
C0682906,C0025552,INTERACTS_WITH,Transition Elements,Metals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C0682906,C0026162,INTERACTS_WITH,Transition Elements,Minerals,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C2346521,C0043047,INTERACTS_WITH,zinc cation,Water,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C2346726,C0596259,INTERACTS_WITH,aluminum cation,carbonyl group,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
C2346927,C0146894,INTERACTS_WITH,Magnesium Cation,triphosphate,elii,inch,1,INTERACTS_WITH_ELIIitawINCH
