cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003121,C0524647,INTERACTS_WITH,Anoplura,Soldiers,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0004913,C0031831,INTERACTS_WITH,Bedbugs,Physicians,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0010260,C0040704,INTERACTS_WITH,Crabs,Transient Population Group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0012578,C0684312,INTERACTS_WITH,Diptera,Drivers of Vehicles,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0017534,C1704784,INTERACTS_WITH,Giardia,Owner,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0018882,C2700280,INTERACTS_WITH,Helix (Snails),World,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0018893,C0005795,INTERACTS_WITH,Helminths,Blood donor,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0018893,C2700280,INTERACTS_WITH,Helminths,World,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0026584,C0240321,INTERACTS_WITH,Culicidae,mediterranean,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0026584,C0282122,INTERACTS_WITH,Culicidae,Respondents,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0026584,C0683626,INTERACTS_WITH,Culicidae,human group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0026584,C3887537,INTERACTS_WITH,Culicidae,Partner,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0027581,C1704784,INTERACTS_WITH,Phylum Nematoda,Owner,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C0033011,INTERACTS_WITH,Parasites,Pregnant Women,euka,humn,2,INTERACTS_WITH_EUKAitawHUMN
C0030498,C0034510,INTERACTS_WITH,Parasites,Racial group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C0037179,INTERACTS_WITH,Parasites,Unmarried person,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C0042462,INTERACTS_WITH,Parasites,Vendors,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C0524647,INTERACTS_WITH,Parasites,Soldiers,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C1707496,INTERACTS_WITH,Parasites,Consumer,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0030498,C2936533,INTERACTS_WITH,Parasites,Invasive Species,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0038462,C1709854,INTERACTS_WITH,Strongyloides stercoralis,Recipient,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0040557,C0037179,INTERACTS_WITH,Toxoplasma gondii,Unmarried person,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0040557,C0337831,INTERACTS_WITH,Toxoplasma gondii,Ewe,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0041215,C0238711,INTERACTS_WITH,Trypanosoma,australian,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0041221,C0349678,INTERACTS_WITH,Trypanosoma cruzi,Sportsman,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0086194,C0043210,INTERACTS_WITH,Earthworms,Woman,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0321227,C0402755,INTERACTS_WITH,Trichostrongylus tenuis,Gamekeeper,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0444659,C0040704,INTERACTS_WITH,Merozoites,Transient Population Group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0446189,C0020155,INTERACTS_WITH,Cyclospora cayetanensis,Human Volunteers,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0522435,C1709854,INTERACTS_WITH,Cyclospora,Recipient,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0562628,C0683626,INTERACTS_WITH,Obligate parasite,human group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C0562630,C0683626,INTERACTS_WITH,Intracellular parasite,human group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1031041,C0680396,INTERACTS_WITH,Modulus,cliques,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1052868,C0682134,INTERACTS_WITH,Pyronia tithonus,citizen,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1052868,C3824749,INTERACTS_WITH,Pyronia tithonus,First responder,euka,humn,2,INTERACTS_WITH_EUKAitawHUMN
C1067936,C0401998,INTERACTS_WITH,Phasis,Clinic nurse,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1067936,C0870646,INTERACTS_WITH,Phasis,High Risk Populations,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1195665,C2717882,INTERACTS_WITH,Thelohania contejeani,Endangered Species,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1225105,C3887537,INTERACTS_WITH,Sia,Partner,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1227796,C0033167,INTERACTS_WITH,Simyra,Prisoners,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1459585,C0031323,INTERACTS_WITH,Lacuna,Pharmacist,euka,humn,2,INTERACTS_WITH_EUKAitawHUMN
C1682506,C0025266,INTERACTS_WITH,Plea,Male population group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1744526,C0376387,INTERACTS_WITH,Cryptosporidium,Transplant Recipients,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C1938575,C0681273,INTERACTS_WITH,Manga,audience,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C3463949,C0337911,INTERACTS_WITH,Almeida,Turks,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
C4277713,C0683626,INTERACTS_WITH,Mosquito Vectors,human group,euka,humn,1,INTERACTS_WITH_EUKAitawHUMN
