cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015576,C0030551,INTERACTS_WITH,Family,parent,famg,famg,2,INTERACTS_WITH_FAMGitawFAMG
C0015576,C0086282,INTERACTS_WITH,Family,Family member,famg,famg,2,INTERACTS_WITH_FAMGitawFAMG
C0015576,C0337527,INTERACTS_WITH,Family,Brothers,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0015576,C0682323,INTERACTS_WITH,Family,Partner in relationship,famg,famg,4,INTERACTS_WITH_FAMGitawFAMG
C0015576,C0870134,INTERACTS_WITH,Family,ancestors,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0015671,C0026591,INTERACTS_WITH,Father (person),Mother (person),famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0026591,C0337489,INTERACTS_WITH,Mother (person),Foster mother,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0026591,C0680063,INTERACTS_WITH,Mother (person),Offspring,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0026753,C0030551,INTERACTS_WITH,Multiple Birth Offspring,parent,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0030551,C0011011,INTERACTS_WITH,parent,Daughter,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0030551,C0015576,INTERACTS_WITH,parent,Family,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0030551,C0680063,INTERACTS_WITH,parent,Offspring,famg,famg,3,INTERACTS_WITH_FAMGitawFAMG
C0037047,C0015576,INTERACTS_WITH,Sibling,Family,famg,famg,2,INTERACTS_WITH_FAMGitawFAMG
C0080103,C0015341,INTERACTS_WITH,Relative (related person),Extended Family,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0080103,C0015576,INTERACTS_WITH,Relative (related person),Family,famg,famg,2,INTERACTS_WITH_FAMGitawFAMG
C0080103,C0682323,INTERACTS_WITH,Relative (related person),Partner in relationship,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0080103,C4053457,INTERACTS_WITH,Relative (related person),Surrogate,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0086282,C0015576,INTERACTS_WITH,Family member,Family,famg,famg,3,INTERACTS_WITH_FAMGitawFAMG
C0086282,C0020052,INTERACTS_WITH,Family member,Households,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0086282,C0682323,INTERACTS_WITH,Family member,Partner in relationship,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0162409,C0015576,INTERACTS_WITH,spouse,Family,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
C0242664,C0242665,INTERACTS_WITH,husband,wife,famg,famg,1,INTERACTS_WITH_FAMGitawFAMG
