cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0019722,C1180059,INTERACTS_WITH,HLA Class I Genes,Nucleated cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0055601,C0225369,INTERACTS_WITH,chordin,Chondrocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0069416,C0027882,INTERACTS_WITH,olfactory marker protein,Neurons,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0080298,C4330475,INTERACTS_WITH,SRC gene,Immune Cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0167206,C0682523,INTERACTS_WITH,"TM4SF1 protein, human",human cell line,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0289325,C0596155,INTERACTS_WITH,Integrin alpha6,Basal Cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0312288,C0038250,INTERACTS_WITH,2-methylcitrate synthase,Stem cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0380093,C0039194,INTERACTS_WITH,LMO2 gene,T-Lymphocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0535503,C3714800,INTERACTS_WITH,ADAM12 Protein,SCID-Repopulating Cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C0812248,C0085983,INTERACTS_WITH,TIAM1 gene,"Cell Line, Tumor",gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1320551,C0039194,INTERACTS_WITH,Nuclear phosphoprotein,T-Lymphocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1332075,C0027882,INTERACTS_WITH,ALCAM gene,Neurons,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1332126,C1956422,INTERACTS_WITH,AXIN2 gene,Cancer Stem Cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1332399,C0004561,INTERACTS_WITH,BCL6 gene,B-Lymphocytes,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1332814,C0039194,INTERACTS_WITH,CX3CL1 gene,T-Lymphocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1333135,C0206116,INTERACTS_WITH,Complement Component Gene,Microglia,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1334147,C0814999,INTERACTS_WITH,ITGB4 gene,thymocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1334310,C2350467,INTERACTS_WITH,KLRB1 gene,Invariant Natural Killer T-Cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1334332,C0024432,INTERACTS_WITH,LCP1 gene,macrophage,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1334332,C0242629,INTERACTS_WITH,LCP1 gene,CD8-Positive T-Lymphocytes,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1335077,C1180059,INTERACTS_WITH,Nuclear Receptor Gene,Nucleated cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1335596,C0015161,INTERACTS_WITH,RASD1 gene,Eukaryotic Cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1412402,C0227599,INTERACTS_WITH,ANK1 gene,Transitional epithelial cell of urinary bladder,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1413234,C0026473,INTERACTS_WITH,CD68 gene,Monocytes,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1413775,C1512505,INTERACTS_WITH,CST6 gene,Breast Cancer Cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1413938,C0814005,INTERACTS_WITH,DCX gene,Neuroblast,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1413975,C0027950,INTERACTS_WITH,DEFA4 gene,neutrophil,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1414315,C0039194,INTERACTS_WITH,EGR2 gene,T-Lymphocyte,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1414828,C0018207,INTERACTS_WITH,FSHR gene,granulosa cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1414988,C1321301,INTERACTS_WITH,GARS gene,Peripheral blood mononuclear cell (cell),gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1416525,C0004112,INTERACTS_WITH,JAG1 gene,Astrocytes,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1417030,C0027882,INTERACTS_WITH,MAPRE2 gene,Neurons,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1417030,C0225336,INTERACTS_WITH,MAPRE2 gene,Endothelial Cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1417584,C0028944,INTERACTS_WITH,MYT1 gene,Oligodendroglia,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1417706,C0086574,INTERACTS_WITH,NFIL3 gene,Lymphoid Cells,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
C1417744,C0228092,INTERACTS_WITH,NME5 gene,Ependymal cell,gngm,cell,1,INTERACTS_WITH_GNGMitawCELL
