cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000368,C0052799,INTERACTS_WITH,"3,3'-Diaminobenzidine",Carmoisine A,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0001771,C0031430,INTERACTS_WITH,Agar,Phenolsulfonphthalein,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C0028132,INTERACTS_WITH,Buffers,Nitrilotriacetic Acid,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C0034760,INTERACTS_WITH,Buffers,Reagents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C0037638,INTERACTS_WITH,Buffers,Solvents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C0046880,INTERACTS_WITH,Buffers,"3,3',5,5'-tetramethylbenzidine",irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C0250829,INTERACTS_WITH,Buffers,cyanine dye 5,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0006353,C3812213,INTERACTS_WITH,Buffers,Fetal Bovine Serum,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0007974,C0009924,INTERACTS_WITH,Chelating Agents,Contrast Media,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0010454,C0028132,INTERACTS_WITH,Culture Media,Nitrilotriacetic Acid,irda,irda,2,INTERACTS_WITH_IRDAitawIRDA
C0010454,C0034760,INTERACTS_WITH,Culture Media,Reagents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0010454,C0037638,INTERACTS_WITH,Culture Media,Solvents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0012893,C0016320,INTERACTS_WITH,DNA Probes,Fluorescent Dyes,irda,irda,5,INTERACTS_WITH_IRDAitawIRDA
C0012893,C0113897,INTERACTS_WITH,DNA Probes,digoxigenin-11-deoxyuridine triphosphate,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0012893,C0598447,INTERACTS_WITH,DNA Probes,fluorophore,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0013343,C0021717,INTERACTS_WITH,Dyes,Intercalating Agents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0013343,C0038128,INTERACTS_WITH,Dyes,Stains,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0015101,C0038738,INTERACTS_WITH,Ethylmaleimide,Sulfhydryl Reagents,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0016184,C0598447,INTERACTS_WITH,Fixatives,fluorophore,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0016320,C0013343,INTERACTS_WITH,Fluorescent Dyes,Dyes,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0016321,C0049522,INTERACTS_WITH,Fluorescent Probes,6-carboxyfluorescein,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0016979,C0034760,INTERACTS_WITH,Gallic acid,Reagents,irda,irda,2,INTERACTS_WITH_IRDAitawIRDA
C0024100,C0052799,INTERACTS_WITH,Luminol,Carmoisine A,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0028952,C0016320,INTERACTS_WITH,Oligonucleotide Probes,Fluorescent Dyes,irda,irda,2,INTERACTS_WITH_IRDAitawIRDA
C0028952,C0598447,INTERACTS_WITH,Oligonucleotide Probes,fluorophore,irda,irda,2,INTERACTS_WITH_IRDAitawIRDA
C0028952,C1522485,INTERACTS_WITH,Oligonucleotide Probes,Tracer,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0032486,C1522485,INTERACTS_WITH,Polyethyleneimine,Tracer,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034423,C0060264,INTERACTS_WITH,quinoline,ferrocene,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C0006353,INTERACTS_WITH,Reagents,Buffers,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C0010454,INTERACTS_WITH,Reagents,Culture Media,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C0052799,INTERACTS_WITH,Reagents,Carmoisine A,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C0085216,INTERACTS_WITH,Reagents,Fluorescein-5-isothiocyanate,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C0598447,INTERACTS_WITH,Reagents,fluorophore,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0034760,C1522485,INTERACTS_WITH,Reagents,Tracer,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0035683,C0250829,INTERACTS_WITH,RNA Probes,cyanine dye 5,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0037638,C0006353,INTERACTS_WITH,Solvents,Buffers,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0037638,C0013343,INTERACTS_WITH,Solvents,Dyes,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0038128,C0013343,INTERACTS_WITH,Stains,Dyes,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0046056,C3812213,INTERACTS_WITH,Fluorodeoxyglucose F18,Fetal Bovine Serum,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0046880,C0052799,INTERACTS_WITH,"3,3',5,5'-tetramethylbenzidine",Carmoisine A,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0054697,C0038128,INTERACTS_WITH,Carbol-fuchsin stain,Stains,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
C0060549,C1522485,INTERACTS_WITH,Fluorexon stain,Tracer,irda,irda,1,INTERACTS_WITH_IRDAitawIRDA
