cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000970,C0038720,INTERACTS_WITH,Acetaminophen,"Sulfates, Inorganic",orch,inch,3,INTERACTS_WITH_ORCHitawINCH
C0000986,C0596072,INTERACTS_WITH,acetic anhydride,amino group,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001275,C0043047,INTERACTS_WITH,Activated Charcoal,Water,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001275,C3536832,INTERACTS_WITH,Activated Charcoal,Air,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001962,C0008203,INTERACTS_WITH,Ethanol,Chlorides,orch,inch,2,INTERACTS_WITH_ORCHitawINCH
C0001962,C0043047,INTERACTS_WITH,Ethanol,Water,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001975,C0006222,INTERACTS_WITH,Alcohols,Bromides,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001975,C0043047,INTERACTS_WITH,Alcohols,Water,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001975,C0596072,INTERACTS_WITH,Alcohols,amino group,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0001992,C0074745,INTERACTS_WITH,Aldehydes,metaperiodate,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0002068,C2350022,INTERACTS_WITH,Alkenes,Water Vapor,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0002335,C0013832,INTERACTS_WITH,Alprostadil,Electrolytes,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0002508,C0596072,INTERACTS_WITH,Amines,amino group,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0005014,C0043047,INTERACTS_WITH,Benserazide,Water,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0007004,C0074745,INTERACTS_WITH,Carbohydrates,metaperiodate,orch,inch,2,INTERACTS_WITH_ORCHitawINCH
C0007004,C0178522,INTERACTS_WITH,Carbohydrates,boronic acid,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0007004,C0700307,INTERACTS_WITH,Carbohydrates,hydroxyl group,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0007026,C0026162,INTERACTS_WITH,Carbonates,Minerals,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0007026,C0086983,INTERACTS_WITH,Carbonates,Silicates,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0012403,C0021966,INTERACTS_WITH,Dimethyl Sulfoxide,Iodides,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
C0012403,C0596072,INTERACTS_WITH,Dimethyl Sulfoxide,amino group,orch,inch,1,INTERACTS_WITH_ORCHitawINCH
