cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0019868,C3714634,ISA,Homeostasis,Biological Processes,biof,biof,4,ISA_BIOFisaBIOF
C0220781,C3714634,ISA,Anabolism,Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
C0282629,C1160638,ISA,Virus Assembly,Viral life cycle,biof,biof,1,ISA_BIOFisaBIOF
C0282629,C3853734,ISA,Virus Assembly,viral process,biof,biof,1,ISA_BIOFisaBIOF
C0282688,C3714634,ISA,"Evolution, Molecular",Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
C0678661,C3714634,ISA,biological control,Biological Processes,biof,biof,2,ISA_BIOFisaBIOF
C1327622,C3714634,ISA,Regulation of biological process,Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
C1537068,C3714634,ISA,Virus Internalization,Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
C1820201,C3714634,ISA,tissue remodeling,Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
C3548928,C3714634,ISA,single-organism process,Biological Processes,biof,biof,3,ISA_BIOFisaBIOF
C3853734,C1660836,ISA,viral process,multi-organism process,biof,biof,1,ISA_BIOFisaBIOF
C3853734,C3714634,ISA,viral process,Biological Processes,biof,biof,1,ISA_BIOFisaBIOF
