cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000879,C0033739,ISA,Acanthamoeba,Protozoa,euka,euka,3,ISA_EUKAisaEUKA
C0000879,C1318538,ISA,Acanthamoeba,Sarcodina,euka,euka,2,ISA_EUKAisaEUKA
C0000890,C0003704,ISA,Order Acarina,Arachnida (invertebrate),euka,euka,1,ISA_EUKAisaEUKA
C0001692,C0026584,ISA,Aedes <genus>,Culicidae,euka,euka,3,ISA_EUKAisaEUKA
C0002028,C0684063,ISA,Algae,Eukaryota,euka,euka,3,ISA_EUKAisaEUKA
C0002031,C0002028,ISA,"Algae, Brown (eukaryote)",Algae,euka,euka,4,ISA_EUKAisaEUKA
C0002826,C0002830,ISA,Necator americanus,Ancylostomatoidea,euka,euka,9,ISA_EUKAisaEUKA
C0002826,C0027526,ISA,Necator americanus,Necator,euka,euka,1,ISA_EUKAisaEUKA
C0002830,C0018893,ISA,Ancylostomatoidea,Helminths,euka,euka,3,ISA_EUKAisaEUKA
C0002830,C0027581,ISA,Ancylostomatoidea,Phylum Nematoda,euka,euka,5,ISA_EUKAisaEUKA
C0002830,C0030498,ISA,Ancylostomatoidea,Parasites,euka,euka,3,ISA_EUKAisaEUKA
C0003117,C0026584,ISA,Anopheles Genus,Culicidae,euka,euka,1,ISA_EUKAisaEUKA
C0003121,C0003903,ISA,Anoplura,Arthropods,euka,euka,5,ISA_EUKAisaEUKA
C0003121,C0021585,ISA,Anoplura,Insecta,euka,euka,1,ISA_EUKAisaEUKA
C0003121,C0023635,ISA,Anoplura,Lice,euka,euka,3,ISA_EUKAisaEUKA
C0003455,C0021585,ISA,Ants,Insecta,euka,euka,3,ISA_EUKAisaEUKA
C0003562,C0018992,ISA,Aphids,Hemiptera,euka,euka,1,ISA_EUKAisaEUKA
C0003562,C0021585,ISA,Aphids,Insecta,euka,euka,4,ISA_EUKAisaEUKA
C0003903,C0030498,ISA,Arthropods,Parasites,euka,euka,7,ISA_EUKAisaEUKA
C0003903,C1039396,ISA,Arthropods,Panarthropoda,euka,euka,1,ISA_EUKAisaEUKA
C0003954,C0018893,ISA,Ascaris,Helminths,euka,euka,6,ISA_EUKAisaEUKA
C0003954,C0027581,ISA,Ascaris,Phylum Nematoda,euka,euka,2,ISA_EUKAisaEUKA
C0003954,C0030498,ISA,Ascaris,Parasites,euka,euka,2,ISA_EUKAisaEUKA
C0003955,C0003954,ISA,Ascaris lumbricoides,Ascaris,euka,euka,1,ISA_EUKAisaEUKA
C0003955,C0018893,ISA,Ascaris lumbricoides,Helminths,euka,euka,1,ISA_EUKAisaEUKA
C0003955,C0027581,ISA,Ascaris lumbricoides,Phylum Nematoda,euka,euka,6,ISA_EUKAisaEUKA
C0003955,C0030498,ISA,Ascaris lumbricoides,Parasites,euka,euka,1,ISA_EUKAisaEUKA
C0004347,C0037378,ISA,Australorbis glabratus,Snails,euka,euka,1,ISA_EUKAisaEUKA
C0004572,C0030498,ISA,Babesia,Parasites,euka,euka,12,ISA_EUKAisaEUKA
C0004572,C0033739,ISA,Babesia,Protozoa,euka,euka,4,ISA_EUKAisaEUKA
C0004572,C0085326,ISA,Babesia,Piroplasmida,euka,euka,1,ISA_EUKAisaEUKA
C0004573,C0033739,ISA,Babesia bovis,Protozoa,euka,euka,1,ISA_EUKAisaEUKA
C0004693,C0033739,ISA,Balantidium,Protozoa,euka,euka,1,ISA_EUKAisaEUKA
C0004694,C0030498,ISA,Balantidium coli,Parasites,euka,euka,4,ISA_EUKAisaEUKA
C0004694,C0033739,ISA,Balantidium coli,Protozoa,euka,euka,1,ISA_EUKAisaEUKA
C0004757,C0030498,ISA,Thoracica,Parasites,euka,euka,38,ISA_EUKAisaEUKA
C0004913,C0003903,ISA,Bedbugs,Arthropods,euka,euka,1,ISA_EUKAisaEUKA
C0004913,C0322575,ISA,Bedbugs,Cimicidae,euka,euka,2,ISA_EUKAisaEUKA
C0004923,C0020415,ISA,Bees,Hymenoptera,euka,euka,1,ISA_EUKAisaEUKA
C0004923,C0021585,ISA,Bees,Insecta,euka,euka,2,ISA_EUKAisaEUKA
C0005707,C0033739,ISA,Blastocystis,Protozoa,euka,euka,1,ISA_EUKAisaEUKA
C0005707,C1004618,ISA,Blastocystis,Stramenopiles,euka,euka,1,ISA_EUKAisaEUKA
C0006496,C0023338,ISA,Butterflies,Lepidoptera,euka,euka,5,ISA_EUKAisaEUKA
C0006638,C0027581,ISA,Caenorhabditis,Phylum Nematoda,euka,euka,3,ISA_EUKAisaEUKA
C0006896,C0030498,ISA,Capillaria,Parasites,euka,euka,1,ISA_EUKAisaEUKA
C0007747,C0012578,ISA,Ceratopogonidae,Diptera,euka,euka,5,ISA_EUKAisaEUKA
C0007747,C0021585,ISA,Ceratopogonidae,Insecta,euka,euka,3,ISA_EUKAisaEUKA
C0008781,C0085330,ISA,Ciliata,Ciliophora,euka,euka,1,ISA_EUKAisaEUKA
C0008781,C0684063,ISA,Ciliata,Eukaryota,euka,euka,2,ISA_EUKAisaEUKA
C0008785,C0004913,ISA,Cimex lectularius,Bedbugs,euka,euka,5,ISA_EUKAisaEUKA
C0008807,C0042056,ISA,Ciona intestinalis,Urochordata,euka,euka,3,ISA_EUKAisaEUKA
C0008807,C0998737,ISA,Ciona intestinalis,Ascidiacea,euka,euka,2,ISA_EUKAisaEUKA
C0008894,C0026391,ISA,Clams,Mollusca,euka,euka,2,ISA_EUKAisaEUKA
C0008894,C0542270,ISA,Clams,Class Bivalvia,euka,euka,3,ISA_EUKAisaEUKA
C0009022,C0030498,ISA,Clonorchis sinensis,Parasites,euka,euka,1,ISA_EUKAisaEUKA
C0009022,C0040818,ISA,Clonorchis sinensis,Trematoda,euka,euka,2,ISA_EUKAisaEUKA
C0009182,C0033739,ISA,Coccidia,Protozoa,euka,euka,3,ISA_EUKAisaEUKA
C0009182,C0038038,ISA,Coccidia,Sporozoea,euka,euka,1,ISA_EUKAisaEUKA
C0009182,C0085316,ISA,Coccidia,Apicomplexa,euka,euka,2,ISA_EUKAisaEUKA
C0009208,C0021585,ISA,Dictyoptera <superorder>,Insecta,euka,euka,1,ISA_EUKAisaEUKA
C0009276,C0021585,ISA,Order Coleoptera,Insecta,euka,euka,4,ISA_EUKAisaEUKA
C0009276,C2713498,ISA,Order Coleoptera,Metazoa,euka,euka,1,ISA_EUKAisaEUKA
C0010260,C0010395,ISA,Crabs,Subphylum Crustacea,euka,euka,6,ISA_EUKAisaEUKA
C0010260,C0030498,ISA,Crabs,Parasites,euka,euka,6,ISA_EUKAisaEUKA
C0010284,C0010395,ISA,Astacoidea,Subphylum Crustacea,euka,euka,3,ISA_EUKAisaEUKA
C0010395,C0003903,ISA,Subphylum Crustacea,Arthropods,euka,euka,3,ISA_EUKAisaEUKA
C0010395,C0030498,ISA,Subphylum Crustacea,Parasites,euka,euka,36,ISA_EUKAisaEUKA
C0010444,C0021585,ISA,Culex (Genus),Insecta,euka,euka,1,ISA_EUKAisaEUKA
C0010444,C0026584,ISA,Culex (Genus),Culicidae,euka,euka,4,ISA_EUKAisaEUKA
C0010446,C0007747,ISA,Culicoides <genus>,Ceratopogonidae,euka,euka,2,ISA_EUKAisaEUKA
C0010446,C0012578,ISA,Culicoides <genus>,Diptera,euka,euka,1,ISA_EUKAisaEUKA
C0010979,C0010395,ISA,Daphnia,Subphylum Crustacea,euka,euka,3,ISA_EUKAisaEUKA
C0010979,C0684063,ISA,Daphnia,Eukaryota,euka,euka,1,ISA_EUKAisaEUKA
C0011595,C0040203,ISA,Dermacentor,Ticks,euka,euka,4,ISA_EUKAisaEUKA
C0011595,C0282511,ISA,Dermacentor,Ixodes,euka,euka,4,ISA_EUKAisaEUKA
C0011595,C0598741,ISA,Dermacentor,Ixodidae,euka,euka,1,ISA_EUKAisaEUKA
C0011596,C0011595,ISA,Dermacentor variabilis,Dermacentor,euka,euka,2,ISA_EUKAisaEUKA
C0011596,C0040203,ISA,Dermacentor variabilis,Ticks,euka,euka,5,ISA_EUKAisaEUKA
C0012117,C0027581,ISA,Dictyocaulus,Phylum Nematoda,euka,euka,1,ISA_EUKAisaEUKA
C0012120,C0085366,ISA,Dictyostelium,Dictyosteliida,euka,euka,1,ISA_EUKAisaEUKA
C0012120,C0684063,ISA,Dictyostelium,Eukaryota,euka,euka,1,ISA_EUKAisaEUKA
C0012120,C2651106,ISA,Dictyostelium,Amoebozoa,euka,euka,1,ISA_EUKAisaEUKA
C0012480,C0030498,ISA,Dioctophyma,Parasites,euka,euka,1,ISA_EUKAisaEUKA
C0012481,C0027581,ISA,Dioctophyma renale,Phylum Nematoda,euka,euka,1,ISA_EUKAisaEUKA
C0012564,C1706526,ISA,Diphyllobothrium latum,Class Cestoda,euka,euka,1,ISA_EUKAisaEUKA
C0012578,C0003903,ISA,Diptera,Arthropods,euka,euka,2,ISA_EUKAisaEUKA
C0012578,C0021585,ISA,Diptera,Insecta,euka,euka,8,ISA_EUKAisaEUKA
C0012578,C0030498,ISA,Diptera,Parasites,euka,euka,3,ISA_EUKAisaEUKA
C0012600,C0030498,ISA,Dirofilaria,Parasites,euka,euka,1,ISA_EUKAisaEUKA
C0012601,C0027581,ISA,Dirofilaria immitis,Phylum Nematoda,euka,euka,1,ISA_EUKAisaEUKA
C0012601,C0030498,ISA,Dirofilaria immitis,Parasites,euka,euka,6,ISA_EUKAisaEUKA
C0012601,C1621857,ISA,Dirofilaria immitis,Filarial worm,euka,euka,1,ISA_EUKAisaEUKA
C0013102,C0027581,ISA,Dracunculus medinensis,Phylum Nematoda,euka,euka,1,ISA_EUKAisaEUKA
C0013102,C0030498,ISA,Dracunculus medinensis,Parasites,euka,euka,2,ISA_EUKAisaEUKA
C0013138,C0012578,ISA,"Drosophila <fruit fly, genus>",Diptera,euka,euka,2,ISA_EUKAisaEUKA
C0013138,C0021585,ISA,"Drosophila <fruit fly, genus>",Insecta,euka,euka,1,ISA_EUKAisaEUKA
C0013139,C0012578,ISA,Drosophila melanogaster,Diptera,euka,euka,3,ISA_EUKAisaEUKA
C0013139,C0013138,ISA,Drosophila melanogaster,"Drosophila <fruit fly, genus>",euka,euka,14,ISA_EUKAisaEUKA
C0013139,C0021585,ISA,Drosophila melanogaster,Insecta,euka,euka,5,ISA_EUKAisaEUKA
