cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004037,C0445623,ISA,Aspergillus fumigatus,Microorganism,fngs,orgm,2,ISA_FNGSisaORGM
C0004039,C0445623,ISA,Aspergillus niger,Microorganism,fngs,orgm,2,ISA_FNGSisaORGM
C0006836,C0445623,ISA,Candida (fungus),Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C0006837,C0445623,ISA,Candida albicans,Microorganism,fngs,orgm,2,ISA_FNGSisaORGM
C0010416,C0445623,ISA,Cryptococcus neoformans,Microorganism,fngs,orgm,3,ISA_FNGSisaORGM
C0016832,C0445623,ISA,Fungi,Microorganism,fngs,orgm,82,ISA_FNGSisaORGM
C0030843,C0445623,ISA,Penicillium,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C0035471,C0445623,ISA,Rhinosporidium seeberi,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C0036024,C0445623,ISA,Saccharomyces,Microorganism,fngs,orgm,2,ISA_FNGSisaORGM
C0036025,C0445623,ISA,Saccharomyces cerevisiae,Microorganism,fngs,orgm,15,ISA_FNGSisaORGM
C0038029,C0445623,ISA,"Spores, Fungal",Microorganism,fngs,orgm,2,ISA_FNGSisaORGM
C0043393,C0445623,ISA,Yeasts,Microorganism,fngs,orgm,16,ISA_FNGSisaORGM
C0319558,C0445623,ISA,Ajellomyces capsulatus,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C0319972,C0445623,ISA,Penicillium citrinum,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C0369241,C0445623,ISA,Filamentous fungus,Microorganism,fngs,orgm,10,ISA_FNGSisaORGM
C0563193,C0038027,ISA,Arthrospore,Reproduction spores,fngs,orgm,1,ISA_FNGSisaORGM
C1093310,C0445623,ISA,Nosema ceranae,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C1136244,C0445623,ISA,Mycorrhizae,Microorganism,fngs,orgm,1,ISA_FNGSisaORGM
C1562222,C0445623,ISA,Dimorphic fungi,Microorganism,fngs,orgm,3,ISA_FNGSisaORGM
C4277685,C1956108,ISA,Mycobiome,Microbiome,fngs,orgm,2,ISA_FNGSisaORGM
