cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016995,C0441655,ISA,Gambling,Activities,inbe,acty,1,ISA_INBEisaACTY
C0016995,C3266814,ISA,Gambling,Action,inbe,acty,2,ISA_INBEisaACTY
C0037369,C0020115,ISA,Smoking,Human Activities,inbe,acty,1,ISA_INBEisaACTY
C0037369,C3266814,ISA,Smoking,Action,inbe,acty,1,ISA_INBEisaACTY
C0085116,C1708476,ISA,Entrepreneurship,Implementation,inbe,acty,1,ISA_INBEisaACTY
C0234880,C3266814,ISA,Baying,Action,inbe,acty,1,ISA_INBEisaACTY
C0439656,C1708476,ISA,Voluntary,Implementation,inbe,acty,2,ISA_INBEisaACTY
C0439656,C3266814,ISA,Voluntary,Action,inbe,acty,8,ISA_INBEisaACTY
C0542299,C3266814,ISA,Behavioral change,Action,inbe,acty,1,ISA_INBEisaACTY
C0678341,C0441655,ISA,responsibility,Activities,inbe,acty,2,ISA_INBEisaACTY
C0679688,C0441655,ISA,Protective Factors,Activities,inbe,acty,2,ISA_INBEisaACTY
C3494474,C0441655,ISA,Hand Hygiene,Activities,inbe,acty,1,ISA_INBEisaACTY
C3494474,C1708476,ISA,Hand Hygiene,Implementation,inbe,acty,1,ISA_INBEisaACTY
