cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0220806,ISA,Alkalies,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0002607,C0220806,ISA,Ammonia,Chemicals,inch,chem,2,ISA_INCHisaCHEM
C0005367,C0001128,ISA,Bicarbonates,Acids,inch,chem,1,ISA_INCHisaCHEM
C0008203,C0001128,ISA,Chlorides,Acids,inch,chem,44,ISA_INCHisaCHEM
C0016327,C0220806,ISA,Fluorides,Chemicals,inch,chem,3,ISA_INCHisaCHEM
C0020231,C0220806,ISA,Hydrazine,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0020281,C0220806,ISA,Hydrogen Peroxide,Chemicals,inch,chem,6,ISA_INCHisaCHEM
C0021966,C0220806,ISA,Iodides,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0025552,C0220806,ISA,Metals,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0031603,C0001128,ISA,Phosphates,Acids,inch,chem,1,ISA_INCHisaCHEM
C0032575,C0001128,ISA,Polyphosphates,Acids,inch,chem,1,ISA_INCHisaCHEM
C0036580,C0220806,ISA,Selenite,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0037518,C0220806,ISA,Sodium Hypochlorite,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0038225,C0220806,ISA,Steam,Chemicals,inch,chem,2,ISA_INCHisaCHEM
C0038720,C0001128,ISA,"Sulfates, Inorganic",Acids,inch,chem,3,ISA_INCHisaCHEM
C0038762,C0001128,ISA,Sulfonic Acids,Acids,inch,chem,1,ISA_INCHisaCHEM
C0038784,C0001128,ISA,Sulfuric acid,Acids,inch,chem,1,ISA_INCHisaCHEM
C0038784,C0220806,ISA,Sulfuric acid,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0043047,C0220806,ISA,Water,Chemicals,inch,chem,4,ISA_INCHisaCHEM
C0051519,C0220806,ISA,aluminum phosphate,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0055330,C0220806,ISA,chloramine,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0055370,C0220806,ISA,chlorine dioxide,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0060229,C0220806,ISA,ferric chloride,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0061791,C0001128,ISA,"gold tetrachloride, acid",Acids,inch,chem,1,ISA_INCHisaCHEM
C0064990,C0220806,ISA,Calcium oxide,Chemicals,inch,chem,2,ISA_INCHisaCHEM
C0074719,C0220806,ISA,sodium arsenite,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0074726,C0220806,ISA,sodium bisulfite,Chemicals,inch,chem,2,ISA_INCHisaCHEM
C0074745,C0220806,ISA,metaperiodate,Chemicals,inch,chem,2,ISA_INCHisaCHEM
C0074774,C0220806,ISA,sodium thiosulfate,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0141925,C0220806,ISA,Selenate,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0146894,C0001128,ISA,triphosphate,Acids,inch,chem,1,ISA_INCHisaCHEM
C0146894,C0220806,ISA,triphosphate,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0205884,C0220806,ISA,Perchlorates,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0302921,C0220806,ISA,Strong acid,Chemicals,inch,chem,1,ISA_INCHisaCHEM
C0733770,C0220806,ISA,Alhydrogel,Chemicals,inch,chem,1,ISA_INCHisaCHEM
