cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007450,C0597305,ISA,Felis catus,protists,mamm,orgm,1,ISA_MAMMisaORGM
C0007452,C0445623,ISA,Cattle,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C0008139,C0445623,ISA,Chiroptera,Microorganism,mamm,orgm,2,ISA_MAMMisaORGM
C0012984,C0445623,ISA,Canis familiaris,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C0018557,C0445623,ISA,Hamsters,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C0019944,C0445623,ISA,Equus caballus,Microorganism,mamm,orgm,2,ISA_MAMMisaORGM
C0026809,C0445623,ISA,Mus,Microorganism,mamm,orgm,2,ISA_MAMMisaORGM
C0026809,C0597305,ISA,Mus,protists,mamm,orgm,1,ISA_MAMMisaORGM
C0035804,C0445623,ISA,Rodent,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C0039005,C0445623,ISA,Family suidae,Microorganism,mamm,orgm,10,ISA_MAMMisaORGM
C0079024,C0445623,ISA,Bison,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C0684075,C0445623,ISA,Adult female pig having farrowed,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
C1135183,C0445623,ISA,Sus scrofa,Microorganism,mamm,orgm,2,ISA_MAMMisaORGM
C1513853,C0445623,ISA,NON Mouse,Microorganism,mamm,orgm,1,ISA_MAMMisaORGM
