cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0003376,ISA,Acyclovir,Antimetabolites,nnon,phsu,1,ISA_NNONisaPHSU
C0001367,C0003451,ISA,Acyclovir,Antiviral Agents,nnon,phsu,50,ISA_NNONisaPHSU
C0001367,C2746051,ISA,Acyclovir,DNA Polymerase Inhibitors,nnon,phsu,1,ISA_NNONisaPHSU
C0010711,C0003376,ISA,Cytarabine,Antimetabolites,nnon,phsu,2,ISA_NNONisaPHSU
C0010711,C0003451,ISA,Cytarabine,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0012132,C0003451,ISA,Zalcitabine,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0012132,C0282519,ISA,Zalcitabine,Reverse Transcriptase Inhibitors,nnon,phsu,1,ISA_NNONisaPHSU
C0012133,C0003451,ISA,Didanosine,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0012133,C0282519,ISA,Didanosine,Reverse Transcriptase Inhibitors,nnon,phsu,1,ISA_NNONisaPHSU
C0012133,C0376565,ISA,Didanosine,Anti-HIV Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0012133,C3537103,ISA,Didanosine,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,1,ISA_NNONisaPHSU
C0012136,C0282519,ISA,Dideoxynucleosides,Reverse Transcriptase Inhibitors,nnon,phsu,1,ISA_NNONisaPHSU
C0016278,C0003308,ISA,Flucytosine,Antifungal Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0016360,C0003376,ISA,Fluorouracil,Antimetabolites,nnon,phsu,4,ISA_NNONisaPHSU
C0017066,C0003451,ISA,Ganciclovir,Antiviral Agents,nnon,phsu,27,ISA_NNONisaPHSU
C0017066,C1579418,ISA,Ganciclovir,Antiherpetic Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0017066,C2746051,ISA,Ganciclovir,DNA Polymerase Inhibitors,nnon,phsu,5,ISA_NNONisaPHSU
C0020811,C0003451,ISA,Idoxuridine,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0032414,C0003451,ISA,Poly I-C,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0035525,C0003376,ISA,Ribavirin,Antimetabolites,nnon,phsu,2,ISA_NNONisaPHSU
C0035525,C0003451,ISA,Ribavirin,Antiviral Agents,nnon,phsu,154,ISA_NNONisaPHSU
C0040987,C0003451,ISA,Trifluridine,Antiviral Agents,nnon,phsu,3,ISA_NNONisaPHSU
C0042646,C0003451,ISA,Vidarabine,Antiviral Agents,nnon,phsu,6,ISA_NNONisaPHSU
C0043474,C0003451,ISA,Zidovudine,Antiviral Agents,nnon,phsu,5,ISA_NNONisaPHSU
C0043474,C0282519,ISA,Zidovudine,Reverse Transcriptase Inhibitors,nnon,phsu,13,ISA_NNONisaPHSU
C0043474,C0376565,ISA,Zidovudine,Anti-HIV Agents,nnon,phsu,4,ISA_NNONisaPHSU
C0043474,C0599685,ISA,Zidovudine,Anti-Retroviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0043474,C3537103,ISA,Zidovudine,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,14,ISA_NNONisaPHSU
C0045093,C0003376,ISA,gemcitabine,Antimetabolites,nnon,phsu,2,ISA_NNONisaPHSU
C0045212,C0003451,ISA,Clevudine,Antiviral Agents,nnon,phsu,3,ISA_NNONisaPHSU
C0049065,C2746050,ISA,decitabine,DNA Methyltransferase Inhibitor,nnon,phsu,1,ISA_NNONisaPHSU
C0050175,C0003451,ISA,adefovir,Antiviral Agents,nnon,phsu,2,ISA_NNONisaPHSU
C0051764,C0003451,ISA,Ampligen,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0164662,C0282519,ISA,Stavudine,Reverse Transcriptase Inhibitors,nnon,phsu,2,ISA_NNONisaPHSU
C0164662,C0376565,ISA,Stavudine,Anti-HIV Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0164662,C3537103,ISA,Stavudine,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,1,ISA_NNONisaPHSU
C0164815,C0003451,ISA,penciclovir,Antiviral Agents,nnon,phsu,2,ISA_NNONisaPHSU
C0172398,C0003451,ISA,ridostin,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0208078,C0003451,ISA,fialuridine,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0209738,C0003451,ISA,Lamivudine,Antiviral Agents,nnon,phsu,4,ISA_NNONisaPHSU
C0209738,C0376565,ISA,Lamivudine,Anti-HIV Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0209738,C3537103,ISA,Lamivudine,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,9,ISA_NNONisaPHSU
C0286079,C0003451,ISA,Cidofovir,Antiviral Agents,nnon,phsu,16,ISA_NNONisaPHSU
C0338133,C0003376,ISA,Gemzar,Antimetabolites,nnon,phsu,1,ISA_NNONisaPHSU
C0384228,C0003451,ISA,Tenofovir,Antiviral Agents,nnon,phsu,3,ISA_NNONisaPHSU
C0384228,C0282519,ISA,Tenofovir,Reverse Transcriptase Inhibitors,nnon,phsu,2,ISA_NNONisaPHSU
C0384228,C0376565,ISA,Tenofovir,Anti-HIV Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0384228,C3537103,ISA,Tenofovir,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,2,ISA_NNONisaPHSU
C0663655,C0003451,ISA,abacavir,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C0663655,C0282519,ISA,abacavir,Reverse Transcriptase Inhibitors,nnon,phsu,4,ISA_NNONisaPHSU
C0663655,C3537103,ISA,abacavir,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,3,ISA_NNONisaPHSU
C0667846,C0717880,ISA,Combivir,Lamivudine / Zidovudine,nnon,phsu,2,ISA_NNONisaPHSU
C0667846,C3537103,ISA,Combivir,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,1,ISA_NNONisaPHSU
C0671970,C0003376,ISA,capecitabine,Antimetabolites,nnon,phsu,2,ISA_NNONisaPHSU
C0700805,C0003674,ISA,Fludara,Vidarabine Phosphate,nnon,phsu,1,ISA_NNONisaPHSU
C0724367,C0003451,ISA,Vitravene,Antiviral Agents,nnon,phsu,4,ISA_NNONisaPHSU
C0759671,C0907349,ISA,GW506U78,nelarabine,nnon,phsu,1,ISA_NNONisaPHSU
C0909839,C0282519,ISA,emtricitabine,Reverse Transcriptase Inhibitors,nnon,phsu,3,ISA_NNONisaPHSU
C0909839,C3537103,ISA,emtricitabine,Nucleoside Reverse Transcriptase Inhibitor,nnon,phsu,2,ISA_NNONisaPHSU
C0971023,C0003451,ISA,entecavir,Antiviral Agents,nnon,phsu,5,ISA_NNONisaPHSU
C1099776,C0003451,ISA,Tenofovir disoproxil fumarate,Antiviral Agents,nnon,phsu,2,ISA_NNONisaPHSU
C1135140,C0964443,ISA,thymectacin,NB1011,nnon,phsu,1,ISA_NNONisaPHSU
C1170576,C0003451,ISA,Rebetol,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C1453933,C0003451,ISA,telbivudine,Antiviral Agents,nnon,phsu,2,ISA_NNONisaPHSU
C1508759,C0003451,ISA,maribavir,Antiviral Agents,nnon,phsu,2,ISA_NNONisaPHSU
C1514926,C1520007,ISA,retroviral vector,viral vector,nnon,phsu,1,ISA_NNONisaPHSU
C1528494,C0599685,ISA,Truvada,Anti-Retroviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C1563756,C0003376,ISA,Vidaza,Antimetabolites,nnon,phsu,1,ISA_NNONisaPHSU
C1579410,C0003376,ISA,Nucleoside Analogs,Antimetabolites,nnon,phsu,2,ISA_NNONisaPHSU
C1622085,C0003451,ISA,Virazole,Antiviral Agents,nnon,phsu,1,ISA_NNONisaPHSU
C1871526,C2917373,ISA,raltegravir,Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor [EPC],nnon,phsu,1,ISA_NNONisaPHSU
C1999375,C0085826,ISA,Ticagrelor,Antiplatelet Agents,nnon,phsu,1,ISA_NNONisaPHSU
C2745656,C1519059,ISA,SPC3649,Phosphorothioate Oligonucleotides,nnon,phsu,1,ISA_NNONisaPHSU
C2976303,C0003451,ISA,sofosbuvir,Antiviral Agents,nnon,phsu,4,ISA_NNONisaPHSU
C2976303,C1514669,ISA,sofosbuvir,RNA Polymerase Inhibitor,nnon,phsu,1,ISA_NNONisaPHSU
