cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001645,C0450442,ISA,Adrenergic beta-Antagonists,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0001648,C0450442,ISA,Adrenergic Agonists,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0002763,C0450442,ISA,Central Nervous System Stimulants,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0002773,C0450442,ISA,"Analgesics, Anti-Inflammatory",Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003015,C0243076,ISA,Angiotensin-Converting Enzyme Inhibitors,antagonists,phsu,chvf,2,ISA_PHSUisaCHVF
C0003015,C0450442,ISA,Angiotensin-Converting Enzyme Inhibitors,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003191,C0450442,ISA,Antirheumatic Agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003204,C0450442,ISA,Anti-Infective Agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003211,C0450442,ISA,"Anti-Inflammatory Agents, Non-Steroidal",Agent,phsu,chvf,4,ISA_PHSUisaCHVF
C0003289,C0450442,ISA,Antidepressive Agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003295,C0450442,ISA,Antidote,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003297,C0450442,ISA,Antiemetics,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003374,C0450442,ISA,Antimalarials,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003376,C0450442,ISA,Antimetabolites,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003383,C0450442,ISA,Antimony Sodium Gluconate,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0003402,C0450442,ISA,Antioxidants,Agent,phsu,chvf,37,ISA_PHSUisaCHVF
C0003419,C0450442,ISA,Antipyretics,Agent,phsu,chvf,9,ISA_PHSUisaCHVF
C0003449,C0450442,ISA,Antitussive Agents,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0003451,C0450442,ISA,Antiviral Agents,Agent,phsu,chvf,5,ISA_PHSUisaCHVF
C0006684,C0450442,ISA,Calcium Channel Blockers,Agent,phsu,chvf,4,ISA_PHSUisaCHVF
C0007220,C0450442,ISA,Cardiovascular Agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0007422,C0450442,ISA,Cathartics,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0009188,C0450442,ISA,Coccidiostats,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0009905,C0450442,ISA,"Contraceptives, Oral",Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0010858,C0450442,ISA,Cytostatic Agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0012341,C0450442,ISA,Iodoquinol,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0012798,C0450442,ISA,Diuretics,Agent,phsu,chvf,7,ISA_PHSUisaCHVF
C0013162,C0450442,ISA,Drug Combinations,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0013973,C0450442,ISA,Emetics,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0014432,C0450442,ISA,Enzyme Inhibitors,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0014930,C0450442,ISA,Estrogen Antagonists,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0016411,C0450442,ISA,Folic Acid Antagonists,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0020592,C0450442,ISA,Hypnotics and Sedatives,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0020616,C0450442,ISA,Hypoglycemic Agents,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
C0021988,C0450442,ISA,Iodophors,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0026698,C0450442,ISA,mucolytic agents,Agent,phsu,chvf,1,ISA_PHSUisaCHVF
C0031638,C0450442,ISA,Phosphodiesterase Inhibitors,Agent,phsu,chvf,2,ISA_PHSUisaCHVF
