cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002032,C0002028,ISA,Chlorophyta,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0002033,C0002028,ISA,Rhodophyta,Algae,plnt,euka,5,ISA_PLNTisaEUKA
C0008155,C0002028,ISA,Chlamydomonas,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C0008190,C0002028,ISA,Chlorella,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0032098,C0684063,ISA,Plants,Eukaryota,plnt,euka,10,ISA_PLNTisaEUKA
C0033734,C0002028,ISA,Prototheca,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C0162741,C0684063,ISA,Arabidopsis,Eukaryota,plnt,euka,1,ISA_PLNTisaEUKA
C0947361,C0010284,ISA,Astacus astacus,Astacoidea,plnt,euka,1,ISA_PLNTisaEUKA
C0996244,C0002028,ISA,Chondrus crispus,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996264,C0002028,ISA,Porphyridium,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996321,C0002028,ISA,Ectocarpus siliculosus,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C0996323,C0002028,ISA,Pylaiella littoralis,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996397,C0002028,ISA,Sargassum fulvellum,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996416,C0002028,ISA,Dunaliella tertiolecta,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996433,C0002028,ISA,Volvox carteri,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996438,C0002028,ISA,Chlorella vulgaris,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996439,C0002028,ISA,Chlorella pyrenoidosa,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996474,C0002028,ISA,Bryopsis plumosa,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C0996477,C0002028,ISA,Codium fragile,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C0997298,C1960936,ISA,Phytophthora capsici,Phylum oomycetes,plnt,euka,1,ISA_PLNTisaEUKA
C0998026,C0002031,ISA,Eisenia bicyclis,"Algae, Brown (eukaryote)",plnt,euka,1,ISA_PLNTisaEUKA
C1001040,C0322280,ISA,Houttuynia cordata,Houttuynia,plnt,euka,1,ISA_PLNTisaEUKA
C1002542,C0002028,ISA,Mastocarpus stellatus,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1003594,C0002028,ISA,Ceramium,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1004333,C0002028,ISA,Derbesia,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1004619,C0002028,ISA,Laminariaceae,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1004735,C0162769,ISA,Bacillariophyceae,Diatoms,plnt,euka,1,ISA_PLNTisaEUKA
C1004890,C0002028,ISA,Cladophora,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1005484,C0002028,ISA,Griffithsia,Algae,plnt,euka,14,ISA_PLNTisaEUKA
C1006773,C0162769,ISA,Pseudo-nitzschia multiseries,Diatoms,plnt,euka,1,ISA_PLNTisaEUKA
C1007466,C0002028,ISA,Tichocarpus crinitus,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1007467,C0002028,ISA,Callophycus,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1007570,C0002028,ISA,Eucheuma serra,Algae,plnt,euka,6,ISA_PLNTisaEUKA
C1007592,C0002028,ISA,Kappaphycus alvarezii,Algae,plnt,euka,9,ISA_PLNTisaEUKA
C1011182,C0684063,ISA,Aureococcus anophagefferens,Eukaryota,plnt,euka,1,ISA_PLNTisaEUKA
C1011182,C1004618,ISA,Aureococcus anophagefferens,Stramenopiles,plnt,euka,1,ISA_PLNTisaEUKA
C1011793,C0002028,ISA,Cyanidioschyzon merolae,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C1017040,C0002028,ISA,Ascophyllum nodosum,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C1017040,C0002031,ISA,Ascophyllum nodosum,"Algae, Brown (eukaryote)",plnt,euka,1,ISA_PLNTisaEUKA
C1018801,C0002028,ISA,Guillardia theta,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1021760,C0002028,ISA,Amphora,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1021760,C0162769,ISA,Amphora,Diatoms,plnt,euka,1,ISA_PLNTisaEUKA
C1025093,C1960936,ISA,Pythium ultimum,Phylum oomycetes,plnt,euka,1,ISA_PLNTisaEUKA
C1030549,C0002028,ISA,Sargassum muticum,Algae,plnt,euka,2,ISA_PLNTisaEUKA
C1048932,C0002028,ISA,Ecklonia cava,Algae,plnt,euka,3,ISA_PLNTisaEUKA
C1083174,C0002028,ISA,Fucus vesiculosus,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1091834,C0002028,ISA,Ptilota filicina,Algae,plnt,euka,1,ISA_PLNTisaEUKA
C1093395,C0002028,ISA,Haematococcus pluvialis,Algae,plnt,euka,1,ISA_PLNTisaEUKA
