cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012742,C0680238,ISA,Dissent,Discord,socb,socb,1,ISA_SOCBisaSOCB
C0017510,C0009452,ISA,Gestures,Communication,socb,socb,2,ISA_SOCBisaSOCB
C0018896,C0009452,ISA,Helping Behavior,Communication,socb,socb,1,ISA_SOCBisaSOCB
C0023676,C0037397,ISA,Life Style,Social Behavior,socb,socb,1,ISA_SOCBisaSOCB
C0024909,C0037397,ISA,Mate Selection,Social Behavior,socb,socb,1,ISA_SOCBisaSOCB
C0028658,C0009452,ISA,Nurse-Patient Relations,Communication,socb,socb,1,ISA_SOCBisaSOCB
C0031830,C0009452,ISA,Physician-Patient Relations,Communication,socb,socb,10,ISA_SOCBisaSOCB
C0035644,C0680406,ISA,Riots,Collective behavior,socb,socb,3,ISA_SOCBisaSOCB
C0037438,C0018896,ISA,Social support,Helping Behavior,socb,socb,1,ISA_SOCBisaSOCB
C0039565,C0009452,ISA,Terrorism,Communication,socb,socb,5,ISA_SOCBisaSOCB
C0086597,C0009452,ISA,Mediate,Communication,socb,socb,17,ISA_SOCBisaSOCB
C0150820,C0009452,ISA,verbal communication,Communication,socb,socb,1,ISA_SOCBisaSOCB
C0233926,C0037397,ISA,Kissing,Social Behavior,socb,socb,1,ISA_SOCBisaSOCB
C0237876,C0282116,ISA,Sharing (Social Behavior),collaboration,socb,socb,1,ISA_SOCBisaSOCB
C0237935,C0009452,ISA,Trust (Social Behavior),Communication,socb,socb,4,ISA_SOCBisaSOCB
C0376298,C0018265,ISA,Consensus,Group Processes,socb,socb,1,ISA_SOCBisaSOCB
C0392337,C0009452,ISA,cooperation,Communication,socb,socb,7,ISA_SOCBisaSOCB
C0424324,C0009452,ISA,Fighting,Communication,socb,socb,2,ISA_SOCBisaSOCB
C0679005,C0009452,ISA,Social Skills,Communication,socb,socb,3,ISA_SOCBisaSOCB
C0679932,C0037397,ISA,competition,Social Behavior,socb,socb,1,ISA_SOCBisaSOCB
C0680207,C0282116,ISA,alliance,collaboration,socb,socb,3,ISA_SOCBisaSOCB
C0680230,C0597535,ISA,goal attainment,Success,socb,socb,3,ISA_SOCBisaSOCB
C0680243,C0680238,ISA,controversy,Discord,socb,socb,1,ISA_SOCBisaSOCB
C0683610,C0009452,ISA,prohibition,Communication,socb,socb,1,ISA_SOCBisaSOCB
C0871661,C0680727,ISA,bargaining,Mediation,socb,socb,1,ISA_SOCBisaSOCB
C0871703,C0009452,ISA,conversation,Communication,socb,socb,2,ISA_SOCBisaSOCB
C1135957,C0009452,ISA,Narration,Communication,socb,socb,1,ISA_SOCBisaSOCB
C2584313,C0009452,ISA,Discussion (communication),Communication,socb,socb,1,ISA_SOCBisaSOCB
C3658363,C0016684,ISA,Identity Theft,Fraud,socb,socb,1,ISA_SOCBisaSOCB
