cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0046056,LOCATION_OF,Plasma membrane,Fluorodeoxyglucose F18,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007603,C0060549,LOCATION_OF,Plasma membrane,Fluorexon stain,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0007637,C1096868,LOCATION_OF,Inclusion Bodies,DC Red No. 8,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0010834,C0060549,LOCATION_OF,Cytoplasm,Fluorexon stain,celc,irda,3,LOCATION_OF_CELClocfIRDA
C0010851,C0136454,LOCATION_OF,Cytoskeletal Filaments,fluorescein isothiocyanate-phalloidin,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0011305,C0013254,LOCATION_OF,Dendrites,Pentetic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0016192,C0142831,LOCATION_OF,Flagella,sodium dehydroacetate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0023768,C0019215,LOCATION_OF,Lipid Bilayers,HEPES,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0000983,LOCATION_OF,Mitochondria,Acetic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0010460,LOCATION_OF,Mitochondria,Cuprizone,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0044565,LOCATION_OF,Mitochondria,1-palmitoyl-2-(10-(4-((trifluoromethyl)diazirinyl)phenyl)-8-oxadecanoyl)-sn-glycero-3-phosphocholine,celc,irda,2,LOCATION_OF_CELClocfIRDA
C0026237,C0060520,LOCATION_OF,Mitochondria,Fluorescein,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0026237,C0060549,LOCATION_OF,Mitochondria,Fluorexon stain,celc,irda,4,LOCATION_OF_CELClocfIRDA
C0026237,C0069881,LOCATION_OF,Mitochondria,P-32,celc,irda,3,LOCATION_OF_CELClocfIRDA
C0029219,C1531412,LOCATION_OF,Organelles,LysoTracker,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042219,C0381187,LOCATION_OF,Vacuole,BODIPY,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042760,C0012788,LOCATION_OF,Virion,Dithionitrobenzoic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0042760,C0028132,LOCATION_OF,Virion,Nitrilotriacetic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0085187,C0034251,LOCATION_OF,telomere,pyridine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0085187,C0053353,LOCATION_OF,telomere,"N,N-bis(2-hydroxyethyl)aminoethanesulfonic acid",celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0001185,LOCATION_OF,Protoplasm,Acridine Orange,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0016979,LOCATION_OF,Protoplasm,Gallic acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0073194,LOCATION_OF,Protoplasm,Rhodamine B,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0085216,LOCATION_OF,Protoplasm,Fluorescein-5-isothiocyanate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0670829,LOCATION_OF,Protoplasm,"2',7'-dichlorodihydrofluorescein diacetate",celc,irda,1,LOCATION_OF_CELClocfIRDA
C0175996,C0915011,LOCATION_OF,Protoplasm,Fluo 4,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0521119,C0013714,LOCATION_OF,Extracellular,Egtazic Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0521119,C0134177,LOCATION_OF,Extracellular,"2-nitrophenylgalactoside, (beta-D)-isomer",celc,irda,1,LOCATION_OF_CELClocfIRDA
C0596901,C0010558,LOCATION_OF,Membrane,Cyclodextrins,celc,irda,2,LOCATION_OF_CELClocfIRDA
C0596901,C0051704,LOCATION_OF,Membrane,ammonium acetate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C0699040,C4044228,LOCATION_OF,Cell surface,MitoSox Red,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1167033,C0600322,LOCATION_OF,symbiont-containing vacuole,Rhodamine,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1167267,C0030123,LOCATION_OF,subrhabdomeral cisterna,4-Aminohippuric Acid,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1325742,C0010558,LOCATION_OF,Pore,Cyclodextrins,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1383501,C0060520,LOCATION_OF,Cytoplasmic matrix,Fluorescein,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1383501,C0060549,LOCATION_OF,Cytoplasmic matrix,Fluorexon stain,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1383501,C0069881,LOCATION_OF,Cytoplasmic matrix,P-32,celc,irda,2,LOCATION_OF_CELClocfIRDA
C1511546,C0058494,LOCATION_OF,Crosslinker,dithiobis(succinimidylpropionate),celc,irda,2,LOCATION_OF_CELClocfIRDA
C1511625,C0069881,LOCATION_OF,Cytoplasmic Domain,P-32,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1622204,C0381187,LOCATION_OF,envelope,BODIPY,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0010467,LOCATION_OF,soluble,Curcumin,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0021936,LOCATION_OF,soluble,Inulin,celc,irda,5,LOCATION_OF_CELClocfIRDA
C1749467,C0039704,LOCATION_OF,soluble,Tetrazolium Salts,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0052799,LOCATION_OF,soluble,Carmoisine A,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1749467,C0085216,LOCATION_OF,soluble,Fluorescein-5-isothiocyanate,celc,irda,1,LOCATION_OF_CELClocfIRDA
C1819995,C0004334,LOCATION_OF,Host Cell,Aurintricarboxylic Acid,celc,irda,3,LOCATION_OF_CELClocfIRDA
C2610566,C0001771,LOCATION_OF,yolk,Agar,celc,irda,2,LOCATION_OF_CELClocfIRDA
C2754978,C3889729,LOCATION_OF,"IgA immunoglobulin complex, circulating",Carbon Nanoparticle-based Formulation,celc,irda,1,LOCATION_OF_CELClocfIRDA
C3271504,C1531412,LOCATION_OF,endolysosome,LysoTracker,celc,irda,1,LOCATION_OF_CELClocfIRDA
C4327157,C0060933,LOCATION_OF,supramolecular complex,Gadolinium DTPA,celc,irda,1,LOCATION_OF_CELClocfIRDA
