cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C0027941,LOCATION_OF,B-Lymphocytes,Neutral Red,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0007600,C0010467,LOCATION_OF,Cultured Cell Line,Curcumin,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0007600,C0060527,LOCATION_OF,Cultured Cell Line,fluorescein isothiocyanate dextran,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0007600,C0069881,LOCATION_OF,Cultured Cell Line,P-32,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0009013,C0001771,LOCATION_OF,Clone Cells,Agar,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0009013,C0085216,LOCATION_OF,Clone Cells,Fluorescein-5-isothiocyanate,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0014597,C0001933,LOCATION_OF,Epithelial Cells,Alcian Blue,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0018873,C0016979,LOCATION_OF,HeLa Cells,Gallic acid,cell,irda,2,LOCATION_OF_CELLlocfIRDA
C0023516,C0017542,LOCATION_OF,Leukocytes,Giemsa stain,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0024432,C0085216,LOCATION_OF,macrophage,Fluorescein-5-isothiocyanate,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0024432,C0386370,LOCATION_OF,macrophage,ferumoxtran-10,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0024432,C0600322,LOCATION_OF,macrophage,Rhodamine,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0026473,C0067453,LOCATION_OF,Monocytes,N-(2-acetamido)-2-aminoethanesulfonic acid,cell,irda,2,LOCATION_OF_CELLlocfIRDA
C0027882,C0965324,LOCATION_OF,Neurons,dichlorofluorescin,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0042542,C0010467,LOCATION_OF,Vero Cells,Curcumin,cell,irda,2,LOCATION_OF_CELLlocfIRDA
C0042542,C0016979,LOCATION_OF,Vero Cells,Gallic acid,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0042542,C0019215,LOCATION_OF,Vero Cells,HEPES,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0042542,C0069881,LOCATION_OF,Vero Cells,P-32,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0042542,C0635626,LOCATION_OF,Vero Cells,trimethylaminocarboxyldihydroboran,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0085236,C0085216,LOCATION_OF,"Macrophages, Alveolar",Fluorescein-5-isothiocyanate,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0225369,C3889729,LOCATION_OF,Chondrocyte,Carbon Nanoparticle-based Formulation,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0227525,C0010467,LOCATION_OF,Hepatocyte,Curcumin,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0227525,C0017542,LOCATION_OF,Hepatocyte,Giemsa stain,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0227525,C0076150,LOCATION_OF,Hepatocyte,tert-Butylhydroperoxide,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0227525,C1318876,LOCATION_OF,Hepatocyte,Silver stain,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0227599,C0010558,LOCATION_OF,Transitional epithelial cell of urinary bladder,Cyclodextrins,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0229604,C0386370,LOCATION_OF,Reticuloendothelial cell,ferumoxtran-10,cell,irda,1,LOCATION_OF_CELLlocfIRDA
C0282560,C0067319,LOCATION_OF,Caco-2 Cells,"N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine",cell,irda,1,LOCATION_OF_CELLlocfIRDA
