cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002084,C1414244,LOCATION_OF,Structure of allantois,ECE1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0002630,C0021755,LOCATION_OF,Structure of amnion,Interleukin-1,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0002630,C0909825,LOCATION_OF,Structure of amnion,claudin 3,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0002630,C1422341,LOCATION_OF,Structure of amnion,PEG10 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C0069304,LOCATION_OF,Embryo stage 3 structure,"POU5F1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C0206414,LOCATION_OF,Embryo stage 3 structure,"Genes, Reporter",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C1428863,LOCATION_OF,Embryo stage 3 structure,TET1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0005705,C1825692,LOCATION_OF,Embryo stage 3 structure,TET2 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C0003765,LOCATION_OF,Chick Embryo,Arginine,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008046,C3147110,LOCATION_OF,Chick Embryo,DSCAM-AS1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0008503,C1417775,LOCATION_OF,Chorion,NPAT gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0008508,C0913092,LOCATION_OF,Chorionic villi,DC-specific ICAM-3 grabbing nonintegrin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013574,C0016026,LOCATION_OF,Ectoderm,Fibroblast Growth Factor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013702,C1823381,LOCATION_OF,Egg Shell,TMEM121 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0002199,LOCATION_OF,Embryo,Interferon-alpha,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0008546,LOCATION_OF,Embryo,Chromatin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0017359,LOCATION_OF,Embryo,"Genes, Overlapping",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0017376,LOCATION_OF,Embryo,"Genes, Viral",emst,aapp,4,LOCATION_OF_EMSTlocfAAPP
C0013935,C0017817,LOCATION_OF,Embryo,Glutathione,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0020960,LOCATION_OF,Embryo,Immune Sera,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0021666,LOCATION_OF,Embryo,insulin-like growth factor 2,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0021760,LOCATION_OF,Embryo,Interleukin-6,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0033164,LOCATION_OF,Embryo,Prions,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0034861,LOCATION_OF,Embryo,Recombinant Proteins,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0036734,LOCATION_OF,Embryo,Serine Endopeptidases,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0040648,LOCATION_OF,Embryo,TRANSCRIPTION FACTOR,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0041485,LOCATION_OF,Embryo,Tyrosine,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0042172,LOCATION_OF,Embryo,E-Cadherin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0073240,LOCATION_OF,Embryo,Ribonuclease III,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0074129,LOCATION_OF,Embryo,scavenger receptor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0074468,LOCATION_OF,Embryo,Sialate O-acetylesterase,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
