cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000781,C0006304,LOCATION_OF,Aborted Fetus (structure),Brucella abortus,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0013702,C0018154,LOCATION_OF,Egg Shell,Gram-Positive Bacteria,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0013702,C0317810,LOCATION_OF,Egg Shell,Mycoplasma synoviae,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0032043,C0006017,LOCATION_OF,Placenta,Bordetella pertussis,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0032043,C0006304,LOCATION_OF,Placenta,Brucella abortus,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0032043,C0023859,LOCATION_OF,Placenta,Listeria,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0041178,C0004611,LOCATION_OF,trophoblast,Bacteria,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0043425,C0008148,LOCATION_OF,Yolk Sac,Chlamydia,emst,bact,1,LOCATION_OF_EMSTlocfBACT
C0043425,C0035583,LOCATION_OF,Yolk Sac,Rickettsia,emst,bact,2,LOCATION_OF_EMSTlocfBACT
C1517162,C0037973,LOCATION_OF,Fetal Liver,ORDER SPIROCHAETALES,emst,bact,1,LOCATION_OF_EMSTlocfBACT
