cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009462,C0028158,LOCATION_OF,Community,Nitrogen,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0086418,C0019588,LOCATION_OF,Homo sapiens,Histamine,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0086418,C0037380,LOCATION_OF,Homo sapiens,Snake Venoms,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0086418,C0037473,LOCATION_OF,Homo sapiens,Sodium,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0086418,C0040549,LOCATION_OF,Homo sapiens,Toxin,grup,bacs,5,LOCATION_OF_GRUPlocfBACS
C0086418,C0040577,LOCATION_OF,Homo sapiens,Trace Elements,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0086418,C1136170,LOCATION_OF,Homo sapiens,Virulence Factors,grup,bacs,3,LOCATION_OF_GRUPlocfBACS
C0242821,C0036581,LOCATION_OF,Human body,Selenium,grup,bacs,1,LOCATION_OF_GRUPlocfBACS
C0242821,C0040577,LOCATION_OF,Human body,Trace Elements,grup,bacs,3,LOCATION_OF_GRUPlocfBACS
C0242821,C0162772,LOCATION_OF,Human body,Reactive Oxygen Species,grup,bacs,2,LOCATION_OF_GRUPlocfBACS
