cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000872,C0599161,LOCATION_OF,Academic Medical Centers,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0000872,C1709846,LOCATION_OF,Academic Medical Centers,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0002424,C1513380,LOCATION_OF,Ambulatory Care Facilities,Molecular Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0002424,C3640076,LOCATION_OF,Ambulatory Care Facilities,Whole Genome Sequencing,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0002424,C3640077,LOCATION_OF,Ambulatory Care Facilities,Whole Exome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C0032520,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C0599161,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0007670,C1514628,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Quantitative Reverse Transcriptase PCR,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C1709846,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Real-Time Polymerase Chain Reaction,hcro,mbrt,7,LOCATION_OF_HCROlocfMBRT
C0007670,C2936622,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Massively-Parallel Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C3839098,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Deoxyribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0018696,C0599161,LOCATION_OF,Health Care Systems,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0018696,C3839010,LOCATION_OF,Health Care Systems,Ribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0018704,C0032520,LOCATION_OF,Health care facility,Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0018704,C0599161,LOCATION_OF,Health care facility,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,5,LOCATION_OF_HCROlocfMBRT
C0018704,C1513380,LOCATION_OF,Health care facility,Molecular Analysis,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0018704,C1513384,LOCATION_OF,Health care facility,Molecular Genetic Technique,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0018704,C1709846,LOCATION_OF,Health care facility,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0018704,C3179032,LOCATION_OF,Health care facility,Multiplex Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0018704,C3640076,LOCATION_OF,Health care facility,Whole Genome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C0032520,LOCATION_OF,Hospitals,Polymerase Chain Reaction,hcro,mbrt,14,LOCATION_OF_HCROlocfMBRT
C0019994,C0599161,LOCATION_OF,Hospitals,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,9,LOCATION_OF_HCROlocfMBRT
C0019994,C0949688,LOCATION_OF,Hospitals,Molecular Diagnostic Techniques,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0019994,C1513384,LOCATION_OF,Hospitals,Molecular Genetic Technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C1709846,LOCATION_OF,Hospitals,Real-Time Polymerase Chain Reaction,hcro,mbrt,4,LOCATION_OF_HCROlocfMBRT
C0019994,C1880945,LOCATION_OF,Hospitals,Gene Expression Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C3179032,LOCATION_OF,Hospitals,Multiplex Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C3640076,LOCATION_OF,Hospitals,Whole Genome Sequencing,hcro,mbrt,4,LOCATION_OF_HCROlocfMBRT
C0019994,C3839010,LOCATION_OF,Hospitals,Ribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C3899376,LOCATION_OF,Hospitals,Digital Array,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0019996,C1709846,LOCATION_OF,"Hospitals, Animal",Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020017,C0599161,LOCATION_OF,"Hospitals, Pediatric",Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020017,C1709846,LOCATION_OF,"Hospitals, Pediatric",Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020017,C3839098,LOCATION_OF,"Hospitals, Pediatric",Deoxyribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020022,C3640076,LOCATION_OF,"Hospitals, Public",Whole Genome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020027,C0032520,LOCATION_OF,Teaching Hospitals,Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020028,C0032520,LOCATION_OF,"Hospitals, University",Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0020028,C0599161,LOCATION_OF,"Hospitals, University",Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020028,C1709846,LOCATION_OF,"Hospitals, University",Real-Time Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0020028,C3179032,LOCATION_OF,"Hospitals, University",Multiplex Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C0032520,LOCATION_OF,intensive care unit,Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C0599161,LOCATION_OF,intensive care unit,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0021708,C0949688,LOCATION_OF,intensive care unit,Molecular Diagnostic Techniques,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C1513380,LOCATION_OF,intensive care unit,Molecular Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C1513384,LOCATION_OF,intensive care unit,Molecular Genetic Technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C3179032,LOCATION_OF,intensive care unit,Multiplex Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021709,C0032520,LOCATION_OF,"Intensive Care Units, Neonatal",Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021709,C0599748,LOCATION_OF,"Intensive Care Units, Neonatal",Tandem Mass Spectrometry,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021709,C3179032,LOCATION_OF,"Intensive Care Units, Neonatal",Multiplex Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0017387,LOCATION_OF,Laboratory,Genetic Engineering,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0032520,LOCATION_OF,Laboratory,Polymerase Chain Reaction,hcro,mbrt,77,LOCATION_OF_HCROlocfMBRT
C0022877,C0040669,LOCATION_OF,Laboratory,Transfection,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0022877,C0162788,LOCATION_OF,Laboratory,In Situ Hybridization,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0178659,LOCATION_OF,Laboratory,genetic manipulation,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0022877,C0221902,LOCATION_OF,Laboratory,DNA hybridization,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0242574,LOCATION_OF,Laboratory,Nested Polymerase Chain Reaction,hcro,mbrt,7,LOCATION_OF_HCROlocfMBRT
C0022877,C0487717,LOCATION_OF,Laboratory,Viral Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0598991,LOCATION_OF,Laboratory,gene synthesis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0599161,LOCATION_OF,Laboratory,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,50,LOCATION_OF_HCROlocfMBRT
C0022877,C0599748,LOCATION_OF,Laboratory,Tandem Mass Spectrometry,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0599958,LOCATION_OF,Laboratory,expression cloning,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C0949688,LOCATION_OF,Laboratory,Molecular Diagnostic Techniques,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0022877,C1328887,LOCATION_OF,Laboratory,genome sequencing,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0022877,C1511040,LOCATION_OF,Laboratory,Baculovirus Expression System,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0022877,C1511897,LOCATION_OF,Laboratory,Dideoxy Chain Termination DNA Sequencing,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0022877,C1513380,LOCATION_OF,Laboratory,Molecular Analysis,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0022877,C1513384,LOCATION_OF,Laboratory,Molecular Genetic Technique,hcro,mbrt,11,LOCATION_OF_HCROlocfMBRT
C0022877,C1514628,LOCATION_OF,Laboratory,Quantitative Reverse Transcriptase PCR,hcro,mbrt,4,LOCATION_OF_HCROlocfMBRT
C0022877,C1516329,LOCATION_OF,Laboratory,Cell Culture System,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C1522053,LOCATION_OF,Laboratory,DNA Microarray format,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C1709846,LOCATION_OF,Laboratory,Real-Time Polymerase Chain Reaction,hcro,mbrt,45,LOCATION_OF_HCROlocfMBRT
C0022877,C1961118,LOCATION_OF,Laboratory,Yeast Two-Hybrid System Techniques,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C2936622,LOCATION_OF,Laboratory,Massively-Parallel Sequencing,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0022877,C2936624,LOCATION_OF,Laboratory,Deep Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C3179032,LOCATION_OF,Laboratory,Multiplex Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0022877,C3494191,LOCATION_OF,Laboratory,Phage Display Techniques,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022877,C3640076,LOCATION_OF,Laboratory,Whole Genome Sequencing,hcro,mbrt,6,LOCATION_OF_HCROlocfMBRT
C0022877,C3839010,LOCATION_OF,Laboratory,Ribonucleic acid extraction technique,hcro,mbrt,11,LOCATION_OF_HCROlocfMBRT
C0022877,C3839098,LOCATION_OF,Laboratory,Deoxyribonucleic acid extraction technique,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0022877,C3899368,LOCATION_OF,Laboratory,Direct Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022879,C0032520,LOCATION_OF,"Laboratories, Hospital",Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022879,C1709846,LOCATION_OF,"Laboratories, Hospital",Real-Time Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0027468,C0032520,LOCATION_OF,United States National Institutes of Health,Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0028688,C0599161,LOCATION_OF,Nursing Homes,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0031834,C0599161,LOCATION_OF,Physicians' Offices,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0031834,C1136345,LOCATION_OF,Physicians' Offices,Protein Microarray Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0259944,C0599161,LOCATION_OF,hospital wards,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0331761,C0032520,LOCATION_OF,abbott,Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0331762,C0080143,LOCATION_OF,Adams,Sequence Alignment,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0331965,C0032520,LOCATION_OF,roche,Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0331980,C1511040,LOCATION_OF,sanofi,Baculovirus Expression System,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0332030,C3179032,LOCATION_OF,biomed,Multiplex Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0332081,C1514628,LOCATION_OF,national laboratories,Quantitative Reverse Transcriptase PCR,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0332087,C1709846,LOCATION_OF,Vet. labs.,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0442592,C0032520,LOCATION_OF,Clinic,Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0442592,C1514628,LOCATION_OF,Clinic,Quantitative Reverse Transcriptase PCR,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0442592,C1709846,LOCATION_OF,Clinic,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0475309,C0032520,LOCATION_OF,Health center,Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0475309,C0242613,LOCATION_OF,Health center,Gene Targeting,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0565990,C0599161,LOCATION_OF,Medical center,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0565990,C1328887,LOCATION_OF,Medical center,genome sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0565990,C3640077,LOCATION_OF,Medical center,Whole Exome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0587437,C0599161,LOCATION_OF,Tertiary Care Centers,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0587437,C3179032,LOCATION_OF,Tertiary Care Centers,Multiplex Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
