cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007457,C0333262,LOCATION_OF,Caucasoid Race,Vesicle (morphologic abnormality),humn,anab,2,LOCATION_OF_HUMNlocfANAB
C0026192,C1510420,LOCATION_OF,Minority Groups,Cavitation,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0034035,C0333047,LOCATION_OF,Public Sector,Recession,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0040288,C0333262,LOCATION_OF,Tissue Donors,Vesicle (morphologic abnormality),humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0043157,C0032584,LOCATION_OF,Caucasians,polyps,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0150775,C0221224,LOCATION_OF,Social Networks,Invagination,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0150775,C0332472,LOCATION_OF,Social Networks,abnormal fragmented structure,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0150775,C0333262,LOCATION_OF,Social Networks,Vesicle (morphologic abnormality),humn,anab,3,LOCATION_OF_HUMNlocfANAB
C0376387,C0302142,LOCATION_OF,Transplant Recipients,Deformity,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0376387,C0521618,LOCATION_OF,Transplant Recipients,Stenosis of ureter,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C0680398,C0333262,LOCATION_OF,secondary group,Vesicle (morphologic abnormality),humn,anab,1,LOCATION_OF_HUMNlocfANAB
C2700280,C0040588,LOCATION_OF,World,Tracheoesophageal Fistula,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C2700280,C1285498,LOCATION_OF,World,Vegetation,humn,anab,1,LOCATION_OF_HUMNlocfANAB
C4522252,C0332472,LOCATION_OF,Foundation for the Accreditation of Cellular Therapy,abnormal fragmented structure,humn,anab,1,LOCATION_OF_HUMNlocfANAB
