cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000901,C0303749,LOCATION_OF,acceptors,Bleach,humn,inch,2,LOCATION_OF_HUMNlocfINCH
C0000901,C0700307,LOCATION_OF,acceptors,hydroxyl group,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0007457,C0055863,LOCATION_OF,Caucasoid Race,clay,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0007457,C0205689,LOCATION_OF,Caucasoid Race,Marble,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0025266,C3536832,LOCATION_OF,Male population group,Air,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0027567,C0009132,LOCATION_OF,African race,Coal dust,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0027567,C0020746,LOCATION_OF,African race,Ice,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0027567,C0043047,LOCATION_OF,African race,Water,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0027567,C1288290,LOCATION_OF,African race,Shale,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0028661,C0016327,LOCATION_OF,Nurses,Fluorides,humn,inch,2,LOCATION_OF_HUMNlocfINCH
C0035173,C0723457,LOCATION_OF,Research Personnel,Stop brand of fluoride,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0037179,C0002055,LOCATION_OF,Unmarried person,Alkalies,humn,inch,3,LOCATION_OF_HUMNlocfINCH
C0037179,C0043047,LOCATION_OF,Unmarried person,Water,humn,inch,3,LOCATION_OF_HUMNlocfINCH
C0037179,C0043491,LOCATION_OF,Unmarried person,Zinc Oxide,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0037179,C3536832,LOCATION_OF,Unmarried person,Air,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0040288,C0074725,LOCATION_OF,Tissue Donors,sodium bisulfide,humn,inch,3,LOCATION_OF_HUMNlocfINCH
C0040288,C3536832,LOCATION_OF,Tissue Donors,Air,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0040704,C0025552,LOCATION_OF,Transient Population Group,Metals,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0042960,C0002055,LOCATION_OF,Voluntary Workers,Alkalies,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0078988,C0043047,LOCATION_OF,Asians,Water,humn,inch,4,LOCATION_OF_HUMNlocfINCH
C0080105,C3536832,LOCATION_OF,Research Subject,Air,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0150775,C0002055,LOCATION_OF,Social Networks,Alkalies,humn,inch,2,LOCATION_OF_HUMNlocfINCH
C0150775,C0020746,LOCATION_OF,Social Networks,Ice,humn,inch,1,LOCATION_OF_HUMNlocfINCH
C0150775,C0021966,LOCATION_OF,Social Networks,Iodides,humn,inch,1,LOCATION_OF_HUMNlocfINCH
