cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002186,C0003241,LOCATION_OF,Vicugna pacos,Antibodies,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0002186,C0004002,LOCATION_OF,Vicugna pacos,Aspartate Transaminase,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0002186,C0010287,LOCATION_OF,Vicugna pacos,Creatine Kinase,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0002186,C0443640,LOCATION_OF,Vicugna pacos,Specific antibody,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0002186,C2744535,LOCATION_OF,Vicugna pacos,"CD69 protein, human",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0002186,C3175686,LOCATION_OF,Vicugna pacos,MER Ab,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0003518,C0162768,LOCATION_OF,"Night Monkey, Northern",Fusion protein,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0003923,C0034800,LOCATION_OF,Artiodactyla,"Receptors, Cell Surface",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0003923,C0378910,LOCATION_OF,Artiodactyla,Lymphocyte antigen CD66A,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0003923,C1517488,LOCATION_OF,Artiodactyla,Gene Family,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0004897,C1538463,LOCATION_OF,Ursidae Family,CHURC1 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0004900,C0035569,LOCATION_OF,Castor,Ricin,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C0021755,LOCATION_OF,Buffaloes,Interleukin-1,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C0021760,LOCATION_OF,Buffaloes,Interleukin-6,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C0085295,LOCATION_OF,Buffaloes,Interleukin-10,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C0242210,LOCATION_OF,Buffaloes,Binding Proteins,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C0308550,LOCATION_OF,Buffaloes,BRSV,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C1332838,LOCATION_OF,Buffaloes,Candidate Disease Gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C1420084,LOCATION_OF,Buffaloes,SLAMF1 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C1423849,LOCATION_OF,Buffaloes,CELA3B gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006352,C1443145,LOCATION_OF,Buffaloes,BPI gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C0002059,LOCATION_OF,Callithrix,Alkaline Phosphatase,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C0019630,LOCATION_OF,Callithrix,Histocompatibility Antigens Class II,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C0033799,LOCATION_OF,Callithrix,Pseudogenes,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C0081937,LOCATION_OF,Callithrix,Dipeptidyl-Peptidase IV,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C0086344,LOCATION_OF,Callithrix,Immune response gene,mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0006764,C0207072,LOCATION_OF,Callithrix,Glial Cell Line-Derived Neurotrophic Factor,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1174094,LOCATION_OF,Callithrix,"IL28B protein, human",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1334078,LOCATION_OF,Callithrix,IFITM1 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1414141,LOCATION_OF,Callithrix,DPP4 gene,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006764,C1415897,LOCATION_OF,Callithrix,IFITM2 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1415898,LOCATION_OF,Callithrix,IFITM3 gene,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006764,C1417453,LOCATION_OF,Callithrix,MTR gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1417776,LOCATION_OF,Callithrix,NPC1 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006764,C1840635,LOCATION_OF,Callithrix,HEPATIC PROTEIN,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006765,C0003250,LOCATION_OF,Callithrix jacchus jacchus,Monoclonal Antibodies,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006765,C0017968,LOCATION_OF,Callithrix jacchus jacchus,Glycoproteins,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006765,C1414141,LOCATION_OF,Callithrix jacchus jacchus,DPP4 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0003241,LOCATION_OF,Camels,Antibodies,mamm,aapp,23,LOCATION_OF_MAMMlocfAAPP
C0006801,C0042285,LOCATION_OF,Camels,Valine,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0042720,LOCATION_OF,Camels,Viral Genome,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0079941,LOCATION_OF,Camels,Open Reading Frames,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006801,C0312586,LOCATION_OF,Camels,Polyclonal antibody,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0382839,LOCATION_OF,Camels,CD94 Antigen,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0440471,LOCATION_OF,Camels,Genetic Materials,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0443640,LOCATION_OF,Camels,Specific antibody,mamm,aapp,8,LOCATION_OF_MAMMlocfAAPP
C0006801,C0475463,LOCATION_OF,Camels,"Antibodies, Neutralizing",mamm,aapp,13,LOCATION_OF_MAMMlocfAAPP
C0006801,C0700271,LOCATION_OF,Camels,"M Protein, multiple myeloma",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C0729663,LOCATION_OF,Camels,Maternal antibody,mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0006801,C0812305,LOCATION_OF,Camels,EPCAM gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C1334043,LOCATION_OF,Camels,Homologous Gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C1414141,LOCATION_OF,Camels,DPP4 gene,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006801,C1522002,LOCATION_OF,Camels,RNA Recognition Motif,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C1624602,LOCATION_OF,Camels,Anti-Antibodies,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006801,C1825598,LOCATION_OF,Camels,IMPACT gene,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0006801,C2239937,LOCATION_OF,Camels,SMAD5-AS1 gene,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C2744535,LOCATION_OF,Camels,"CD69 protein, human",mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0006801,C3175686,LOCATION_OF,Camels,MER Ab,mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0006801,C3809564,LOCATION_OF,Camels,T-CELL RECEPTOR GAMMA CHAIN VARIABLE GENE CLUSTER,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0006801,C4281807,LOCATION_OF,Camels,"Vitronectin, human",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0001347,LOCATION_OF,Felis catus,Acute-Phase Proteins,mamm,aapp,5,LOCATION_OF_MAMMlocfAAPP
C0007450,C0001899,LOCATION_OF,Felis catus,Alanine Transaminase,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0001924,LOCATION_OF,Felis catus,Albumins,mamm,aapp,4,LOCATION_OF_MAMMlocfAAPP
C0007450,C0002716,LOCATION_OF,Felis catus,Amyloid,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0002723,LOCATION_OF,Felis catus,Serum amyloid A protein,mamm,aapp,11,LOCATION_OF_MAMMlocfAAPP
C0007450,C0003241,LOCATION_OF,Felis catus,Antibodies,mamm,aapp,48,LOCATION_OF_MAMMlocfAAPP
C0007450,C0003242,LOCATION_OF,Felis catus,"Antibodies, Anti-Idiotypic",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0003250,LOCATION_OF,Felis catus,Monoclonal Antibodies,mamm,aapp,4,LOCATION_OF_MAMMlocfAAPP
C0007450,C0003313,LOCATION_OF,Felis catus,Immune complex,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0004358,LOCATION_OF,Felis catus,Autoantibodies,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0010289,LOCATION_OF,Felis catus,"Creatine Kinase, BB Form",mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0007450,C0010290,LOCATION_OF,Felis catus,Creatine Kinase MB Isoenzyme,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0007450,C0017007,LOCATION_OF,Felis catus,Gamma globulin,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0017355,LOCATION_OF,Felis catus,"Genes, MHC Class I",mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0017649,LOCATION_OF,Felis catus,Globulins,mamm,aapp,11,LOCATION_OF_MAMMlocfAAPP
C0007450,C0017968,LOCATION_OF,Felis catus,Glycoproteins,mamm,aapp,7,LOCATION_OF_MAMMlocfAAPP
C0007450,C0019043,LOCATION_OF,Felis catus,Sickle Hemoglobin,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0007450,C0019046,LOCATION_OF,Felis catus,Hemoglobin,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
C0007450,C0020835,LOCATION_OF,Felis catus,Immunoglobulin A,mamm,aapp,1,LOCATION_OF_MAMMlocfAAPP
C0007450,C0020960,LOCATION_OF,Felis catus,Immune Sera,mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0007450,C0021027,LOCATION_OF,Felis catus,Immunoglobulins,mamm,aapp,3,LOCATION_OF_MAMMlocfAAPP
C0007450,C0021747,LOCATION_OF,Felis catus,Interferons,mamm,aapp,2,LOCATION_OF_MAMMlocfAAPP
