cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000869,C1418945,LOCATION_OF,Acacia,PRODH gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002022,C0003241,LOCATION_OF,Alfalfa,Antibodies,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002022,C0023820,LOCATION_OF,Alfalfa,Lipoproteins,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002022,C0030940,LOCATION_OF,Alfalfa,Peptide Hydrolases,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0002022,C0162768,LOCATION_OF,Alfalfa,Fusion protein,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0002022,C1426592,LOCATION_OF,Alfalfa,PCSK9 gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002022,C1510863,LOCATION_OF,Alfalfa,Amino-Arginine,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002032,C0023206,LOCATION_OF,Chlorophyta,Lectin,plnt,aapp,3,LOCATION_OF_PLNTlocfAAPP
C0002032,C0040709,LOCATION_OF,Chlorophyta,TRANSKETOLASE,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002032,C0599220,LOCATION_OF,Chlorophyta,Protein Subunits,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002032,C1334043,LOCATION_OF,Chlorophyta,Homologous Gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002033,C0002520,LOCATION_OF,Rhodophyta,Amino Acids,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002033,C0017968,LOCATION_OF,Rhodophyta,Glycoproteins,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0002033,C0023206,LOCATION_OF,Rhodophyta,Lectin,plnt,aapp,46,LOCATION_OF_PLNTlocfAAPP
C0002033,C0031727,LOCATION_OF,Rhodophyta,Phosphotransferases,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0002033,C0065661,LOCATION_OF,Rhodophyta,Mannose Binding Lectin,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0003625,C1415545,LOCATION_OF,Genus Malus,HINT1 gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C0002245,LOCATION_OF,Hordeum,alpha-Amylases,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C0002712,LOCATION_OF,Hordeum,Amylases,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C0053065,LOCATION_OF,Hordeum,beauvericin,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C0178827,LOCATION_OF,Hordeum,replicase,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C0297033,LOCATION_OF,Hordeum,chymotrypsin inhibitor 2,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0004755,C1335643,LOCATION_OF,Hordeum,RPS3 gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0006135,C0020960,LOCATION_OF,Brassica,Immune Sera,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0006622,C0004599,LOCATION_OF,Cacao Plant,Bacitracin,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0006622,C1707156,LOCATION_OF,Cacao Plant,CTBP1 wt Allele,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0007335,C0032082,LOCATION_OF,Manihot esculenta,Plant Growth Regulators,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0007335,C0065000,LOCATION_OF,Manihot esculenta,cyanogenic beta-glucosidase,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0007341,C0017968,LOCATION_OF,Ricinus communis,Glycoproteins,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0007341,C0023206,LOCATION_OF,Ricinus communis,Lectin,plnt,aapp,4,LOCATION_OF_PLNTlocfAAPP
C0007341,C0035569,LOCATION_OF,Ricinus communis,Ricin,plnt,aapp,10,LOCATION_OF_PLNTlocfAAPP
C0008155,C0034861,LOCATION_OF,Chlamydomonas,Recombinant Proteins,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0008155,C1539479,LOCATION_OF,Chlamydomonas,FATE1 gene,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0008720,C1517488,LOCATION_OF,Chrysanthemum,Gene Family,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0008802,C0175168,LOCATION_OF,Cinnamomum verum,"Protein, Organized by Structure",plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0009210,C3539618,LOCATION_OF,Cocos nucifera,TSC22D3 wt Allele,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0001457,LOCATION_OF,Zea mays,ADENOSINE DEAMINASE,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0001942,LOCATION_OF,Zea mays,Alcohol dehydrogenase,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0003241,LOCATION_OF,Zea mays,Antibodies,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0010028,C0003641,LOCATION_OF,Zea mays,Aprotinin,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0004434,LOCATION_OF,Zea mays,Avidin,plnt,aapp,3,LOCATION_OF_PLNTlocfAAPP
C0010028,C0007367,LOCATION_OF,Zea mays,CATALASE,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0011519,LOCATION_OF,Zea mays,Deoxyribonuclease I,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0010028,C0014372,LOCATION_OF,Zea mays,Enterotoxins,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0017258,LOCATION_OF,Zea mays,Gene Clusters,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0017374,LOCATION_OF,Zea mays,Synthetic Genes,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0017776,LOCATION_OF,Zea mays,Beta-glucuronidase,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0017968,LOCATION_OF,Zea mays,Glycoproteins,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0028123,LOCATION_OF,Zea mays,Nitrate Reductases,plnt,aapp,3,LOCATION_OF_PLNTlocfAAPP
C0010028,C0033631,LOCATION_OF,Zea mays,Protein Hydrolysates,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0010028,C0034861,LOCATION_OF,Zea mays,Recombinant Proteins,plnt,aapp,5,LOCATION_OF_PLNTlocfAAPP
C0010028,C0038838,LOCATION_OF,Zea mays,Superoxide Dismutase,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0040648,LOCATION_OF,Zea mays,TRANSCRIPTION FACTOR,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0041538,LOCATION_OF,Zea mays,Ubiquitin,plnt,aapp,10,LOCATION_OF_PLNTlocfAAPP
C0010028,C0043458,LOCATION_OF,Zea mays,Zein,plnt,aapp,8,LOCATION_OF_PLNTlocfAAPP
C0010028,C0053065,LOCATION_OF,Zea mays,beauvericin,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0074529,LOCATION_OF,Zea mays,Silk,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
C0010028,C0079941,LOCATION_OF,Zea mays,Open Reading Frames,plnt,aapp,2,LOCATION_OF_PLNTlocfAAPP
C0010028,C0086376,LOCATION_OF,Zea mays,GTP-Binding Proteins,plnt,aapp,1,LOCATION_OF_PLNTlocfAAPP
