cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010196,C0032474,LOCATION_OF,Gossypium,Polyesters,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0032098,C0023115,LOCATION_OF,Plants,Latex,plnt,bodm,2,LOCATION_OF_PLNTlocfBODM
C0032098,C0070066,LOCATION_OF,Plants,paraform,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0032098,C0597998,LOCATION_OF,Plants,biodegradable polymer,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0040811,C0023115,LOCATION_OF,Trees (plant),Latex,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0086369,C0037098,LOCATION_OF,Grains,Silicon Dioxide,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0443307,C1623735,LOCATION_OF,Plant spore,Alcohol disinfectant,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
C0524884,C0023115,LOCATION_OF,Rubber Tree,Latex,plnt,bodm,2,LOCATION_OF_PLNTlocfBODM
C0969717,C0023115,LOCATION_OF,Hevea brasiliensis,Latex,plnt,bodm,3,LOCATION_OF_PLNTlocfBODM
C2699479,C0115137,LOCATION_OF,Cuticle,Durapatite,plnt,bodm,1,LOCATION_OF_PLNTlocfBODM
