cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002022,C0043047,LOCATION_OF,Alfalfa,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0002022,C1550678,LOCATION_OF,Alfalfa,Water Specimen,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0008802,C0043047,LOCATION_OF,Cinnamomum verum,Water,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0018210,C0055863,LOCATION_OF,Poaceae,clay,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0002055,LOCATION_OF,Plants,Alkalies,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0020281,LOCATION_OF,Plants,Hydrogen Peroxide,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0032098,C0025552,LOCATION_OF,Plants,Metals,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0032098,C0026157,LOCATION_OF,Plants,Mineral Waters,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0031180,LOCATION_OF,Plants,Peroxides,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0036580,LOCATION_OF,Plants,Selenite,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0043047,LOCATION_OF,Plants,Water,plnt,inch,13,LOCATION_OF_PLNTlocfINCH
C0032098,C0054057,LOCATION_OF,Plants,brine,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0141925,LOCATION_OF,Plants,Selenate,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0303186,LOCATION_OF,Plants,Copper compound,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C0682741,LOCATION_OF,Plants,mineral nutrients,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0032098,C1550678,LOCATION_OF,Plants,Water Specimen,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0032098,C3536832,LOCATION_OF,Plants,Air,plnt,inch,5,LOCATION_OF_PLNTlocfINCH
C0036563,C0020746,LOCATION_OF,Plant seeds,Ice,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0036563,C0043047,LOCATION_OF,Plant seeds,Water,plnt,inch,15,LOCATION_OF_PLNTlocfINCH
C0036563,C1550678,LOCATION_OF,Plant seeds,Water Specimen,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0036563,C3536832,LOCATION_OF,Plant seeds,Air,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0040811,C0002055,LOCATION_OF,Trees (plant),Alkalies,plnt,inch,8,LOCATION_OF_PLNTlocfINCH
C0040811,C3536832,LOCATION_OF,Trees (plant),Air,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C0085245,C0016327,LOCATION_OF,"Plants, Transgenic",Fluorides,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0242724,C0002055,LOCATION_OF,Plant Leaves,Alkalies,plnt,inch,3,LOCATION_OF_PLNTlocfINCH
C0242724,C0790233,LOCATION_OF,Plant Leaves,Distilled water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0330099,C0043047,LOCATION_OF,Bush,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0330498,C0043047,LOCATION_OF,Brassica oleracea,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0330544,C0723950,LOCATION_OF,Humulus lupulus,Tums,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0330603,C3536832,LOCATION_OF,Aleurites (plant),Air,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0440283,C0043047,LOCATION_OF,Citrus limon plant,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0453151,C0043047,LOCATION_OF,Watercress,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0599067,C0064990,LOCATION_OF,Phoenix dactylifera,Calcium oxide,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0936179,C0043047,LOCATION_OF,Glycyrrhiza uralensis,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C0996923,C0025552,LOCATION_OF,Datura,Metals,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1007813,C0030015,LOCATION_OF,Mentha longifolia,Oxides,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1027712,C0002055,LOCATION_OF,Carex superata,Alkalies,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1036815,C0757156,LOCATION_OF,Cyrtomium,fortune,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1077177,C0757156,LOCATION_OF,Isatis indigotica,fortune,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C1140671,C0010502,LOCATION_OF,Oryza sativa,Cyanamide,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1140671,C0043047,LOCATION_OF,Oryza sativa,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1140671,C0069590,LOCATION_OF,Oryza sativa,ORALIT,plnt,inch,2,LOCATION_OF_PLNTlocfINCH
C1261477,C0043047,LOCATION_OF,Lactuca sativa,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C1720877,C0043047,LOCATION_OF,Xylem,Water,plnt,inch,5,LOCATION_OF_PLNTlocfINCH
C2697680,C0002055,LOCATION_OF,Inflorescence,Alkalies,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C2698331,C0002055,LOCATION_OF,"Bark, Root",Alkalies,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
C2717855,C0043047,LOCATION_OF,Endosperm,Water,plnt,inch,3,LOCATION_OF_PLNTlocfINCH
C3179261,C0043047,LOCATION_OF,Pharmaceutical Plants,Water,plnt,inch,1,LOCATION_OF_PLNTlocfINCH
