cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000869,C0017977,LOCATION_OF,Acacia,Glycosides,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0000869,C0056660,LOCATION_OF,Acacia,cyanogenic glycosides,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0000869,C0073085,LOCATION_OF,Acacia,resorcinol,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0000869,C0074992,LOCATION_OF,Acacia,sphingosine 1-phosphate,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0002033,C0032594,LOCATION_OF,Rhodophyta,Polysaccharides,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0002125,C0074992,LOCATION_OF,Allium,sphingosine 1-phosphate,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0002168,C0003174,LOCATION_OF,Aloe,Anthraquinones,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0002168,C0074992,LOCATION_OF,Aloe,sphingosine 1-phosphate,plnt,orch,3,LOCATION_OF_PLNTlocfORCH
C0003625,C0071649,LOCATION_OF,Genus Malus,polyphenols,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0006135,C0074992,LOCATION_OF,Brassica,sphingosine 1-phosphate,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0006135,C0718566,LOCATION_OF,Brassica,Anti-Fungal,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0006622,C0002062,LOCATION_OF,Cacao Plant,Alkaloids,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0006622,C0007404,LOCATION_OF,Cacao Plant,Catechin,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0006622,C0039771,LOCATION_OF,Cacao Plant,Theophylline,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0007336,C0003174,LOCATION_OF,Cassia,Anthraquinones,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0007336,C0017765,LOCATION_OF,Cassia,Glucosides,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0007336,C1509960,LOCATION_OF,Cassia,Cinnamon Bark,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0008155,C0074992,LOCATION_OF,Chlamydomonas,sphingosine 1-phosphate,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0008190,C0074992,LOCATION_OF,Chlorella,sphingosine 1-phosphate,plnt,orch,2,LOCATION_OF_PLNTlocfORCH
C0008720,C0016219,LOCATION_OF,Chrysanthemum,Flavones,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0008802,C0028910,LOCATION_OF,Cinnamomum verum,"Oils, Volatile",plnt,orch,3,LOCATION_OF_PLNTlocfORCH
C0009169,C0074992,LOCATION_OF,Coca,sphingosine 1-phosphate,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0001962,LOCATION_OF,Zea mays,Ethanol,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0003682,LOCATION_OF,Zea mays,Arabinose,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0017718,LOCATION_OF,Zea mays,Glucosamine,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0024742,LOCATION_OF,Zea mays,Mannose,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0070203,LOCATION_OF,Zea mays,pectin,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C0596396,LOCATION_OF,Zea mays,cyclic acid,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
C0010028,C2717351,LOCATION_OF,Zea mays,flufenpyr-ethyl,plnt,orch,1,LOCATION_OF_PLNTlocfORCH
