cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0025255,C1417492,LOCATION_OF,Tissue membrane,MUC12 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0025255,C1423594,LOCATION_OF,Tissue membrane,MUC16 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0027757,C3806701,LOCATION_OF,Nerve Tissue,CDR1-AS gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0040300,C1419724,LOCATION_OF,Body tissue,RPS23 gene,tisu,gngm,2,LOCATION_OF_TISUlocfGNGM
C0040300,C1419981,LOCATION_OF,Body tissue,SF3B2 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0040300,C1420435,LOCATION_OF,Body tissue,SSX2 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0040300,C1539722,LOCATION_OF,Body tissue,SAMD9 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0040300,C1823580,LOCATION_OF,Body tissue,UBL4B gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C0056923,LOCATION_OF,Skeletal muscle structure,cytochrome b245,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C1417575,LOCATION_OF,Skeletal muscle structure,MYOG gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C1417640,LOCATION_OF,Skeletal muscle structure,NDUFB8 gene,tisu,gngm,2,LOCATION_OF_TISUlocfGNGM
C0242692,C1419907,LOCATION_OF,Skeletal muscle structure,SDHB gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C1421422,LOCATION_OF,Skeletal muscle structure,VAMP5 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C1537700,LOCATION_OF,Skeletal muscle structure,MIR1-2 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0242692,C1537844,LOCATION_OF,Skeletal muscle structure,MIR206 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0586598,C1419285,LOCATION_OF,Prostate biopsy sample,RASSF1 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0819757,C1413725,LOCATION_OF,Structure of parenchyma of lung,CRY2 gene,tisu,gngm,1,LOCATION_OF_TISUlocfGNGM
C0819757,C1419617,LOCATION_OF,Structure of parenchyma of lung,RP9 gene,tisu,gngm,2,LOCATION_OF_TISUlocfGNGM
