cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001527,C0013470,LOCATION_OF,Adipose tissue,Eating,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0001527,C0018270,LOCATION_OF,Adipose tissue,Growth,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0001527,C0023796,LOCATION_OF,Adipose tissue,Lipolysis,tisu,orgf,7,LOCATION_OF_TISUlocfORGF
C0001527,C0025519,LOCATION_OF,Adipose tissue,Metabolism,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0001527,C0699900,LOCATION_OF,Adipose tissue,Catabolism,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0004799,C0043240,LOCATION_OF,Basement membrane,Wound Healing,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0004799,C0699900,LOCATION_OF,Basement membrane,Catabolism,tisu,orgf,6,LOCATION_OF_TISUlocfORGF
C0004799,C3269238,LOCATION_OF,Basement membrane,antibody-mediated agglutination,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C0011065,LOCATION_OF,Bone Marrow,Cessation of life,tisu,orgf,5,LOCATION_OF_TISUlocfORGF
C0005953,C0018270,LOCATION_OF,Bone Marrow,Growth,tisu,orgf,4,LOCATION_OF_TISUlocfORGF
C0005953,C0032961,LOCATION_OF,Bone Marrow,Pregnancy,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C0043240,LOCATION_OF,Bone Marrow,Wound Healing,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C0233896,LOCATION_OF,Bone Marrow,Sexual Development,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C0333953,LOCATION_OF,Bone Marrow,Involution,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C0678723,LOCATION_OF,Bone Marrow,Biologic Development,tisu,orgf,9,LOCATION_OF_TISUlocfORGF
C0005953,C1160185,LOCATION_OF,Bone Marrow,transduction,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C1516559,LOCATION_OF,Bone Marrow,Circulatory Process,tisu,orgf,3,LOCATION_OF_TISUlocfORGF
C0005953,C1819459,LOCATION_OF,Bone Marrow,interleukin-6 production,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005953,C1819460,LOCATION_OF,Bone Marrow,interleukin-7 production,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0005962,C0699900,LOCATION_OF,Bone Matrix,Catabolism,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0006298,C0018841,LOCATION_OF,Brown Fat,Thermogenesis,tisu,orgf,2,LOCATION_OF_TISUlocfORGF
C0006298,C0019516,LOCATION_OF,Brown Fat,Hibernation,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0006298,C1662975,LOCATION_OF,Brown Fat,heat dissipation,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0007301,C0018270,LOCATION_OF,Cartilage,Growth,tisu,orgf,1,LOCATION_OF_TISUlocfORGF
C0007301,C0043240,LOCATION_OF,Cartilage,Wound Healing,tisu,orgf,4,LOCATION_OF_TISUlocfORGF
