cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020969,C1327616,MANIFESTATION_OF,"Immunity, Innate",Cell secretion,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0020969,C3544385,MANIFESTATION_OF,"Immunity, Innate",pro-survival,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0036866,C0007587,MANIFESTATION_OF,Sex Characteristics,Cell Death,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0085732,C0003272,MANIFESTATION_OF,Ability,Antibody-Dependent Cellular Cytotoxicity,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0085732,C0007582,MANIFESTATION_OF,Ability,Cell Communication,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0085732,C0037083,MANIFESTATION_OF,Ability,Signal Transduction,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0085732,C0596290,MANIFESTATION_OF,Ability,Cell Proliferation,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0085732,C1155075,MANIFESTATION_OF,Ability,monocyte activation,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C0242640,C0599733,MANIFESTATION_OF,Multi-Drug Resistance,cell killing,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C1136169,C0042774,MANIFESTATION_OF,Pathogenicity,Virus Replication,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
C1136169,C1160701,MANIFESTATION_OF,Pathogenicity,viral genome replication,orga,celf,1,MANIFESTATION_OF_ORGAmanfCELF
