cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005364,C0039421,METHOD_OF,Bibliometrics,Technology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0005540,C0014279,METHOD_OF,Biomedical Research,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0008976,C0014279,METHOD_OF,Clinical Trials,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0008976,C1517509,METHOD_OF,Clinical Trials,Genetic Medicine,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0010995,C0013556,METHOD_OF,Data Collection,Economics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0020125,C0039421,METHOD_OF,Human Genome Project,Technology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0020125,C0678657,METHOD_OF,Human Genome Project,human biology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0021823,C0019664,METHOD_OF,"Interviews, Telephone",History,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0023981,C0001829,METHOD_OF,Longitudinal Studies,Agriculture,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0023981,C0013556,METHOD_OF,Longitudinal Studies,Economics,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0023981,C0021423,METHOD_OF,Longitudinal Studies,Information Sciences,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0023981,C0039421,METHOD_OF,Longitudinal Studies,Technology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0036718,C0019664,METHOD_OF,Serial Passage,History,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0036718,C0039421,METHOD_OF,Serial Passage,Technology,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0150103,C0011298,METHOD_OF,MATCHING,Demography,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0150105,C2348017,METHOD_OF,Random Sampling,Curator,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0206055,C1883249,METHOD_OF,"Spectroscopy, Fourier Transform Infrared",Surface Chemistry,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0260205,C0035785,METHOD_OF,Experimental Medicine,Robotics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0600367,C0001829,METHOD_OF,Seroprevalence,Agriculture,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0679083,C0019664,METHOD_OF,simulation,History,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0679083,C0024934,METHOD_OF,simulation,Mathematics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681797,C0013171,METHOD_OF,paradigm,Drug Design,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681797,C0031534,METHOD_OF,paradigm,Philosophy,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681797,C0032382,METHOD_OF,paradigm,Politics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681797,C0037434,METHOD_OF,paradigm,Social Sciences,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681798,C0013556,METHOD_OF,research agenda,Economics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681805,C0001829,METHOD_OF,research funding,Agriculture,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681814,C0003737,METHOD_OF,research study,Architecture,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681814,C0003826,METHOD_OF,research study,Arts,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0681814,C0031837,METHOD_OF,research study,Physics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681814,C0039421,METHOD_OF,research study,Technology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681814,C0041666,METHOD_OF,research study,Undertaking,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681814,C2717799,METHOD_OF,research study,Metagenomics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681908,C1306056,METHOD_OF,testing protocols,Worker,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681912,C0019664,METHOD_OF,face-to-face interview,History,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0681913,C0011298,METHOD_OF,structured interview,Demography,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0681919,C0039421,METHOD_OF,quantitative data analysis,Technology,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0681935,C0019664,METHOD_OF,triangulation,History,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0683935,C0001829,METHOD_OF,research program,Agriculture,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0683935,C0013556,METHOD_OF,research program,Economics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0683941,C0019664,METHOD_OF,comparative analysis,History,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C0683962,C0011298,METHOD_OF,univariate statistics,Demography,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0808279,C0003052,METHOD_OF,Toxicology studies,Animal Husbandry,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0870071,C0011298,METHOD_OF,modeling,Demography,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0870071,C0014279,METHOD_OF,modeling,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0870071,C0019664,METHOD_OF,modeling,History,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0870071,C0021429,METHOD_OF,modeling,Information Theory,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0871424,C1328885,METHOD_OF,statistical analysis,genetic association,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C0920472,C0003916,METHOD_OF,Drug Discovery,Artificial Intelligence,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1516769,C0013171,METHOD_OF,Computational Technique,Drug Design,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1516769,C0014279,METHOD_OF,Computational Technique,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1518101,C1512223,METHOD_OF,Matrix-Assisted Laser Desorption/Ionization-Time of Flight Mass Spectrometry,Glycomics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1518606,C0014279,METHOD_OF,Organ Model,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1518613,C0001829,METHOD_OF,Organism Modification,Agriculture,resa,ocdi,2,METHOD_OF_RESAmthfOCDI
C1518613,C0017404,METHOD_OF,Organism Modification,"Genetics, Population",resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1519068,C0019664,METHOD_OF,Phylogenetic Analysis,History,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1519068,C2717799,METHOD_OF,Phylogenetic Analysis,Metagenomics,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C1657306,C0014279,METHOD_OF,Reverse Genetics,Engineering,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C2603343,C0005477,METHOD_OF,Study,Biochemistry,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
C2603343,C0011108,METHOD_OF,Study,Decision Analysis,resa,ocdi,1,METHOD_OF_RESAmthfOCDI
