cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001563,C0008059,NEG_ADMINISTERED_TO,"Administration, Oral",Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0013216,C0001675,NEG_ADMINISTERED_TO,Pharmacotherapy,Adult,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0013216,C0008059,NEG_ADMINISTERED_TO,Pharmacotherapy,Child,topp,aggp,2,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0020971,C0008059,NEG_ADMINISTERED_TO,Immunization,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0020971,C0021270,NEG_ADMINISTERED_TO,Immunization,Infant,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0032042,C0008059,NEG_ADMINISTERED_TO,Placebos,Child,topp,aggp,2,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0033045,C0008059,NEG_ADMINISTERED_TO,Premedication,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0040808,C0008059,NEG_ADMINISTERED_TO,Treatment Protocols,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0042196,C0008059,NEG_ADMINISTERED_TO,Vaccination,Child,topp,aggp,5,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0042196,C0021270,NEG_ADMINISTERED_TO,Vaccination,Infant,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0042200,C1455726,NEG_ADMINISTERED_TO,Influenza vaccination,Older child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0086225,C0021270,NEG_ADMINISTERED_TO,Enteral Feeding,Infant,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0086225,C4048294,NEG_ADMINISTERED_TO,Enteral Feeding,Preterm Infant,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0175795,C0008059,NEG_ADMINISTERED_TO,oral medication,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0199470,C0008059,NEG_ADMINISTERED_TO,Mechanical ventilation,Child,topp,aggp,3,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0206074,C0008059,NEG_ADMINISTERED_TO,Renal Replacement Therapy,Child,topp,aggp,2,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C0543467,C0008059,NEG_ADMINISTERED_TO,Operative Surgical Procedures,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
C3665674,C0008059,NEG_ADMINISTERED_TO,Warburg Therapy,Child,topp,aggp,1,NEG_ADMINISTERED_TO_TOPPnadtoAGGP
