cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001047,C0231921,NEG_AFFECTS,Acetylcysteine,Pulmonary function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0004599,C0036658,NEG_AFFECTS,Bacitracin,Esthesia,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0006100,C0034929,NEG_AFFECTS,Bradykinin,Reflex action,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0006938,C0029965,NEG_AFFECTS,Captopril,Ovulation,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0007332,C0022925,NEG_AFFECTS,Caseins,Lactation,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0007428,C0234122,NEG_AFFECTS,Cathepsins,Inhibitory potential,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0017376,C0301872,NEG_AFFECTS,"Genes, Viral",Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0021760,C0301872,NEG_AFFECTS,Interleukin-6,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0022009,C0520990,NEG_AFFECTS,Ion Channel,Host defense,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0032583,C0301872,NEG_AFFECTS,Polyproteins,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0035679,C0301872,NEG_AFFECTS,RNA Polymerase II,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0055633,C0036658,NEG_AFFECTS,Chromogranin A,Esthesia,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0057492,C0035070,NEG_AFFECTS,dermorphin,Renal Circulation,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0079189,C0301872,NEG_AFFECTS,cytokine,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0079259,C0232164,NEG_AFFECTS,Dystrophin,Cardiac function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0079460,C0231940,NEG_AFFECTS,Granulocyte-Macrophage Colony-Stimulating Factor,Alveolar ventilation function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0079941,C0234122,NEG_AFFECTS,Open Reading Frames,Inhibitory potential,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0084692,C1171312,NEG_AFFECTS,Pulmonary Surfactant-Associated Protein D,kidney development,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0085295,C0596138,NEG_AFFECTS,Interleukin-10,autocrine,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0085297,C0231921,NEG_AFFECTS,"Immunoglobulins, Intravenous",Pulmonary function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0299583,C0085268,NEG_AFFECTS,leptin,Bone remodeling,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0385463,C0085268,NEG_AFFECTS,leptin receptor,Bone remodeling,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0388176,C0162337,NEG_AFFECTS,Vascular Endothelial Growth Factor B,Vascular Permeability,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0388176,C0302600,NEG_AFFECTS,Vascular Endothelial Growth Factor B,Angiogenic Process,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0582263,C0301872,NEG_AFFECTS,Structural protein,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0597357,C0036658,NEG_AFFECTS,receptor,Esthesia,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0597357,C1817756,NEG_AFFECTS,receptor,Immune System Processes,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C0599220,C0678881,NEG_AFFECTS,Protein Subunits,testicular function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1321919,C0520990,NEG_AFFECTS,"TLR4 protein, human",Host defense,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1334043,C1749784,NEG_AFFECTS,Homologous Gene,axon growth,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1336636,C0301872,NEG_AFFECTS,TLR4 gene,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1336636,C0520990,NEG_AFFECTS,TLR4 gene,Host defense,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1412134,C0018131,NEG_AFFECTS,ACR gene,Graft Survival,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1414477,C0036658,NEG_AFFECTS,ETV5 gene,Esthesia,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1415288,C1136140,NEG_AFFECTS,GRIA2 gene,Long-Term Synaptic Depression,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1418597,C0027540,NEG_AFFECTS,PITX3 gene,Necrosis,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1422064,C0232164,NEG_AFFECTS,ACE2 gene,Cardiac function,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1823170,C1817756,NEG_AFFECTS,AKTIP gene,Immune System Processes,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1823437,C0301872,NEG_AFFECTS,TMEM173 gene,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1824735,C0301872,NEG_AFFECTS,CHIA gene,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1824843,C0301872,NEG_AFFECTS,CYB5R3 gene,Immune response,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1826583,C1136140,NEG_AFFECTS,PICK1 gene,Long-Term Synaptic Depression,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
C1847590,C0036658,NEG_AFFECTS,ENDOU gene,Esthesia,aapp,ortf,1,NEG_AFFECTS_AAPPnafctORTF
