cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001468,C0007620,NEG_AFFECTS,Adenosine Phosphosulfate,Cell Survival,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0009968,C1160466,NEG_AFFECTS,Copper,conjugation,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0010737,C2612542,NEG_AFFECTS,Cytochalasin B,glycoprotein transport,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0012854,C0042774,NEG_AFFECTS,DNA,Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0025196,C0007620,NEG_AFFECTS,Melanins,Cell Survival,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0032136,C0007620,NEG_AFFECTS,Plasmids,Cell Survival,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0033488,C0007620,NEG_AFFECTS,Propolis,Cell Survival,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0035142,C0042774,NEG_AFFECTS,Replicon,Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0035693,C0042774,NEG_AFFECTS,"RNA, Double-Stranded",Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0036733,C0010813,NEG_AFFECTS,Serine Proteinase Inhibitors,Cytokinesis,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0043481,C0042774,NEG_AFFECTS,Zinc,Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0061202,C0037848,NEG_AFFECTS,Genistein,Sperm Motility,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0086860,C0042774,NEG_AFFECTS,promoter,Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C0162772,C1524026,NEG_AFFECTS,Reactive Oxygen Species,"Metabolic Process, Cellular",bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C1099354,C0007620,NEG_AFFECTS,"RNA, Small Interfering",Cell Survival,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C1099354,C0042774,NEG_AFFECTS,"RNA, Small Interfering",Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C1099354,C0596290,NEG_AFFECTS,"RNA, Small Interfering",Cell Proliferation,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C1101610,C0040682,NEG_AFFECTS,MicroRNAs,cell transformation,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
C1101610,C0042774,NEG_AFFECTS,MicroRNAs,Virus Replication,bacs,celf,1,NEG_AFFECTS_BACSnafctCELF
