cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0042776,NEG_AFFECTS,Autophagy,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0004391,C0205725,NEG_AFFECTS,Autophagy,Human Herpesvirus 5 species,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0007587,C0042776,NEG_AFFECTS,Cell Death,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C0014383,NEG_AFFECTS,Cytokinesis,Enterovirus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C0019369,NEG_AFFECTS,Cytokinesis,Herpesviridae,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C0035366,NEG_AFFECTS,Cytokinesis,Retroviridae,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C0206435,NEG_AFFECTS,Cytokinesis,Human poliovirus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C0376526,NEG_AFFECTS,Cytokinesis,human herpesvirus 8,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0010813,C1175743,NEG_AFFECTS,Cytokinesis,SARS coronavirus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0037083,C1175743,NEG_AFFECTS,Signal Transduction,SARS coronavirus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0042774,C0019185,NEG_AFFECTS,Virus Replication,Murine hepatitis virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0042774,C0042776,NEG_AFFECTS,Virus Replication,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0162638,C0019682,NEG_AFFECTS,Apoptosis,HIV,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0162638,C0042776,NEG_AFFECTS,Apoptosis,Virus,celf,virs,2,NEG_AFFECTS_CELFnafctVIRS
C0162638,C0043125,NEG_AFFECTS,Apoptosis,West Nile virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0815089,C0001483,NEG_AFFECTS,Cell development,Adenoviruses,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C0887840,C0042776,NEG_AFFECTS,Nuclear Export,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C1155065,C0042776,NEG_AFFECTS,T-Cell Activation,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C1159788,C0042776,NEG_AFFECTS,transport of virus,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C1160466,C0042776,NEG_AFFECTS,conjugation,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C1318468,C0042776,NEG_AFFECTS,cell mediated immune response,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C1660642,C0042776,NEG_AFFECTS,cellular localization,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
C3156643,C0042776,NEG_AFFECTS,caveolin-mediated endocytosis,Virus,celf,virs,1,NEG_AFFECTS_CELFnafctVIRS
