cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004048,C0001883,NEG_AFFECTS,Inspiration function,Airway Obstruction,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0004048,C0004096,NEG_AFFECTS,Inspiration function,Asthma,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0005615,C0021167,NEG_AFFECTS,Birth,Incontinence,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0005615,C1849718,NEG_AFFECTS,Birth,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0006159,C0035869,NEG_AFFECTS,Breeding,Rotavirus Infections,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0012238,C0043116,NEG_AFFECTS,Digestion,HMN (Hereditary Motor Neuropathy) Proximal Type I,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0012238,C1096155,NEG_AFFECTS,Digestion,Macrophage Activation Syndrome,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0018270,C0013595,NEG_AFFECTS,Growth,Eczema,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0032961,C0021400,NEG_AFFECTS,Pregnancy,Influenza,orgf,dsyn,3,NEG_AFFECTS_ORGFnafctDSYN
C0032961,C0032285,NEG_AFFECTS,Pregnancy,Pneumonia,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0231800,C0004096,NEG_AFFECTS,"Expiration, function",Asthma,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0231800,C1849334,NEG_AFFECTS,"Expiration, function","Robinow syndrome, autosomal recessive",orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C0699900,C1849718,NEG_AFFECTS,Catabolism,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE",orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C1749719,C1264606,NEG_AFFECTS,Adaptive Immune Response,Persistent infection,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
C4328955,C0035112,NEG_AFFECTS,superinfection exclusion,Reoviridae Infections,orgf,dsyn,1,NEG_AFFECTS_ORGFnafctDSYN
