cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0221198,NEG_CAUSES,Antibodies,Lesion,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003241,C1545588,NEG_CAUSES,Antibodies,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003241,C1836348,NEG_CAUSES,Antibodies,Severe disorder,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003241,C3540840,NEG_CAUSES,Antibodies,Sign or Symptom,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003242,C4321237,NEG_CAUSES,"Antibodies, Anti-Idiotypic",High Level,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003250,C1299586,NEG_CAUSES,Monoclonal Antibodies,Has difficulty doing (qualifier value),aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0003993,C1545588,NEG_CAUSES,ASPARAGINASE,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0010934,C4055506,NEG_CAUSES,Dactinomycin,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0011702,C4055506,NEG_CAUSES,Desmosine,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0015491,C1704258,NEG_CAUSES,factor IX,Abnormality,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0015982,C4055506,NEG_CAUSES,Fibrin,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0017817,C1856605,NEG_CAUSES,Glutathione,Glutathione deficiency,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0017968,C1545588,NEG_CAUSES,Glycoproteins,Protection,aapp,fndg,3,NEG_CAUSES_AAPPncausFNDG
C0020960,C0544726,NEG_CAUSES,Immune Sera,Hole Finding,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0021641,C0043094,NEG_CAUSES,Insulin,Weight Gain,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0030940,C0750558,NEG_CAUSES,Peptide Hydrolases,Unlikely,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0037492,C0522224,NEG_CAUSES,Sodium Channel,Paralysed,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0040018,C4055506,NEG_CAUSES,Thrombin,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0042711,C0038435,NEG_CAUSES,Viral Envelope Proteins,Stress,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0055817,C4055506,NEG_CAUSES,citrate carrier,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0063717,C1850165,NEG_CAUSES,Interleukin 6 Receptor,Elevated IL6,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0065827,C1545588,NEG_CAUSES,Measles Virus Nucleoprotein,Protection,aapp,fndg,2,NEG_CAUSES_AAPPncausFNDG
C0067684,C0010840,NEG_CAUSES,N-acetylaspartate,Vacuolation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0067984,C1545588,NEG_CAUSES,N-formylmethionylphenylalanine,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0072378,C1545588,NEG_CAUSES,Myxovirus Resistance Proteins,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0079189,C0333361,NEG_CAUSES,cytokine,Acute inflammation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0085295,C0043084,NEG_CAUSES,Interleukin-10,Weaning,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0085297,C0009488,NEG_CAUSES,"Immunoglobulins, Intravenous",Comorbidity,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0123759,C1545588,NEG_CAUSES,Interleukin-12,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0246694,C4055506,NEG_CAUSES,MG 132,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0282554,C0333361,NEG_CAUSES,chemokine,Acute inflammation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0282554,C4055506,NEG_CAUSES,chemokine,Accumulation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0475463,C1545588,NEG_CAUSES,"Antibodies, Neutralizing",Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0475463,C4321237,NEG_CAUSES,"Antibodies, Neutralizing",High Level,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0597357,C3151529,NEG_CAUSES,receptor,Lethal,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0664336,C1836348,NEG_CAUSES,survivin,Severe disorder,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C0879338,C1545588,NEG_CAUSES,interleukin-12 gene,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1136102,C0038435,NEG_CAUSES,Capsid Proteins,Stress,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1333196,C1545588,NEG_CAUSES,Cytokine Gene,Protection,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1334043,C0038435,NEG_CAUSES,Homologous Gene,Stress,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1334081,C3540840,NEG_CAUSES,IFNAR1 gene,Sign or Symptom,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1335439,C4321237,NEG_CAUSES,Polymerase,High Level,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1366516,C4321237,NEG_CAUSES,IRF1 gene,High Level,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1412113,C0150312,NEG_CAUSES,SLC33A1 gene,Present,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1412268,C1444662,NEG_CAUSES,AES gene,Discontinued,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1412268,C1519255,NEG_CAUSES,AES gene,Serious Adverse Event,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1413188,C0376705,NEG_CAUSES,CCR2 gene,Viral Load result,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1414444,C0038435,NEG_CAUSES,ERN1 gene,Stress,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1415053,C0010840,NEG_CAUSES,GGT1 gene,Vacuolation,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
C1415898,C0150312,NEG_CAUSES,IFITM3 gene,Present,aapp,fndg,1,NEG_CAUSES_AAPPncausFNDG
